Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M01_5D_Scene2.tif	CNU	Right: CNU	Image	Geometry	4606.2	4960.6	623	567	0	495	7486836.6	14874.7
ECM_Exp2_M01_5D_Scene2.tif	CTX	Right: CTX	Image	Geometry	3609.5	3129.9	688	567	0	727	9547519.7	18420
ECM_Exp2_M01_5D_Scene2.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7083.3	3533.7	1009	997	0	661	1177594.2	11852.1
ECM_Exp2_M01_5D_Scene2.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4537.6	3472.3	1009	997	0	389	1191170.4	12116.2
ECM_Exp2_M01_5D_Scene2.tif	CNU	Left: CNU	Image	Geometry	7105	5021.1	623	567	0	2445	7293181.9	14777.9
ECM_Exp2_M01_5D_Scene2.tif	CTX	Left: CTX	Image	Geometry	8007	3195.8	688	567	0	2763	9640102.9	18267.5
