Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M37_15D_Scene5.tif	CNU	Right: CNU	Image	Geometry	2758.3	5911.8	623	567	0	770	3794733.7	15650.8
ECM_Exp2_M37_15D_Scene5.tif	CTX	Right: CTX	Image	Geometry	2674.6	4423.5	688	567	0	2299	12500361.2	31345.4
ECM_Exp2_M37_15D_Scene5.tif	IB	Right: IB	Image	Geometry	4544.5	5722.3	1129	343	0	1412	7028986.7	17759.8
ECM_Exp2_M37_15D_Scene5.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7720.2	4515.4	1009	997	0	2258	2644533.1	38979.8
ECM_Exp2_M37_15D_Scene5.tif	fiber tracts	Right: fiber tracts	Image	Geometry	3397.3	4655.7	1009	997	0	843	2716870.2	39490.9
ECM_Exp2_M37_15D_Scene5.tif	CNU	Left: CNU	Image	Geometry	8386.5	5674	623	567	0	3691	3642312.5	15423.8
ECM_Exp2_M37_15D_Scene5.tif	CTX	Left: CTX	Image	Geometry	8437.3	4198.9	688	567	0	10973	12208706.3	30830.7
ECM_Exp2_M37_15D_Scene5.tif	IB	Left: IB	Image	Geometry	6589.4	5662	1129	343	0	5685	6864326.8	17586.9
