Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M11_5D_Scene5.tif	1	Negative	CNU	Polygon	2947.8	2337.3	123.3702	51.8258	0.5772	18.1308	11.6275	0.8066	92.141	30.237	138	44	52.9487	14.8978	91	26	85.4231	47.5939	217	34	253.9103	3.6188	255	238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	2.6447	8.5011
ECM_Exp2_M11_5D_Scene5.tif	2	Negative	CNU	Polygon	2510.7	2689.7	81.1202	41.6293	0.5882	15.2412	7.6389	0.9161	52.6364	10.2187	68	25	76.8364	39.7947	163	17	9.0727	4.0132	19	1	86.2727	81.781	255	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.0552	8.9432
ECM_Exp2_M11_5D_Scene5.tif	3	Negative	CNU	Polygon	2398.3	2838.5	54.0801	31.4708	0.6862	12.2325	6.3943	0.8749	99.2778	15.5023	144	71	57.8889	27.8914	121	25	7.3333	5.5549	19	0	166.6667	79.6252	255	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.2309	9.0562
ECM_Exp2_M11_5D_Scene5.tif	4	Negative	CNU	Polygon	3142.8	2886.2	94.6402	40.1638	0.7373	14.4092	10.3142	0.6012	86.8438	21.3595	123	35	46.4219	18.5813	101	24	94.6094	33.6427	174	30	237.6719	23.1133	255	154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.2862	8.2935
ECM_Exp2_M11_5D_Scene5.tif	5	Negative	CNU	Polygon	2554.9	2914.3	77.7402	42.201	0.5485	17.5676	6.5	0.9254	85.86	24.0196	153	50	64.54	27.832	118	25	10.54	6.4372	34	4	192.36	57.5357	255	81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.3198	8.8909
ECM_Exp2_M11_5D_Scene5.tif	6	Negative	CNU	Polygon	3175.1	2915.8	81.1202	41.7916	0.5837	16.9819	8.5002	0.8544	10.3148	8.9629	35	0	59.1481	22.2383	114	24	25.1667	14.2997	67	7	170.6667	57.7421	255	82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.3211	8.2603
ECM_Exp2_M11_5D_Scene5.tif	7	Negative	CNU	Polygon	3115.3	2941.3	65.9101	38.3353	0.5636	14.9514	7.8662	0.8671	45.6739	5.147	58	36	47.8913	15.3264	82	28	49.2391	19.2829	93	18	207.7174	48.7701	255	102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.3502	8.3194
ECM_Exp2_M11_5D_Scene5.tif	8	Negative	CNU	Polygon	2255.8	3053	177.4504	79.0562	0.3568	28.3774	13.6012	0.9363	74.7168	45.4738	189	11	66.2124	24.4604	128	23	16.5133	4.8016	28	5	151.1504	74.5835	255	43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.486	9.1963
ECM_Exp2_M11_5D_Scene5.tif	9	Negative	CNU	Polygon	2423.2	3059.7	79.4302	36.4301	0.7521	13.0348	9.3419	0.7687	53.8571	33.391	155	18	72.0816	28.9927	138	25	16.2857	15.7811	62	0	238.6531	32.3648	255	111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.4934	9.022
ECM_Exp2_M11_5D_Scene5.tif	10	Negative	CNU	Polygon	2316.6	3104.5	103.0902	49.7851	0.5227	17.3922	12.4915	0.7329	9.4848	7.328	28	0	44.2424	15.6501	82	24	43.2424	30.233	114	11	214.3333	55.8358	255	65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.5475	9.1307
ECM_Exp2_M11_5D_Scene5.tif	11	Negative	CNU	Polygon	2423.2	3123.2	59.1501	28.8527	0.8929	10.0937	8.244	0.3376	53.1842	20.172	105	34	74.6053	27.5706	115	33	11.9737	10.4971	52	0	226.1053	31.1203	255	152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5875	3.569	9.019
