Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M30_5D_Scene4.tif	CNU	Left: CNU	Image	Geometry	8765.5	3976.1	623	567	0	592	5722177.3	16363.8
ECM_Exp2_M30_5D_Scene4.tif	CTX	Left: CTX	Image	Geometry	9208.3	2938.6	688	567	0	5603	10394061.9	22843.2
ECM_Exp2_M30_5D_Scene4.tif	IB	Left: IB	Image	Geometry	7123.1	4577.7	1129	343	0	1730	4064365.8	12022.7
ECM_Exp2_M30_5D_Scene4.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7748.4	3209.5	1009	997	0	826	2399477.3	28741.9
ECM_Exp2_M30_5D_Scene4.tif	fiber tracts	Right: fiber tracts	Image	Geometry	5025	3240.1	1009	997	0	805	2360242.2	28522.6
ECM_Exp2_M30_5D_Scene4.tif	CNU	Right: CNU	Image	Geometry	3993.7	4055.9	623	567	0	2552	5602840.5	16165.1
ECM_Exp2_M30_5D_Scene4.tif	CTX	Right: CTX	Image	Geometry	3601	2983.3	688	567	0	1901	10318492	22856
ECM_Exp2_M30_5D_Scene4.tif	IB	Right: IB	Image	Geometry	5634.1	4603.1	1129	343	0	738	4010652.9	12019.9
