Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M30_5D_Scene1.tif	153		CTX	Polygon	2806.2	4363.2	387.0108	156.6449	0.1982	40.3952	28.6386	0.7181	32.5169	17.3658	127	14	38.5042	30.2267	195	6	40.428	10.3447	72	21	73.4237	47.7681	235	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.4157	8.7851
ECM_Exp2_M30_5D_Scene1.tif	214		CTX	Polygon	3168.8	4646.6	395.4608	153.6813	0.2104	45.3417	28.3231	0.8106	108.2809	35.3248	217	40	34.6723	14.6684	77	6	73.4468	46.932	214	23	78.5957	47.5126	229	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.7261	8.372
ECM_Exp2_M30_5D_Scene1.tif	52		CTX	Polygon	3422.3	3636.5	380.2508	140.7967	0.241	48.1427	19.2993	0.9389	16.6638	18.2842	119	0	38.214	34.8566	182	3	37.0786	11.9873	74	15	107.4192	58.6662	248	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	3.626	8.0796
ECM_Exp2_M30_5D_Scene1.tif	276		CTX	Polygon	3188.1	4828.2	370.1107	130.4099	0.2735	57.6943	12.0754	0.9891	76.7803	18.8125	114	29	100.2108	44.9631	253	31	174.3229	56.8931	255	61	237.4664	26.8298	255	141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.9254	8.35
ECM_Exp2_M30_5D_Scene1.tif	407		CTX	Polygon	5438.5	5069.3	385.3208	128.1527	0.2948	51.3758	17.2927	0.9563	44.6537	21.6607	84	8	40.4978	22.3346	131	10	36.9567	8.5607	59	20	88.0087	60.3645	208	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	5.3679	5.9717
ECM_Exp2_M30_5D_Scene1.tif	261		CTX	Polygon	3190.6	4777.4	361.6607	168.6751	0.1597	38.2688	26.1304	0.5945	23.1973	18.6658	116	8	19.7175	12.2311	54	1	61.4843	22.4389	122	17	104.1345	82.8154	255	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.8699	8.3474
ECM_Exp2_M30_5D_Scene1.tif	246		CTX	Polygon	2872.7	4732.6	366.7307	147.3115	0.2124	39.0698	23.6413	0.8602	112.2431	59.1824	244	43	74.4633	41.4309	208	21	51.1514	12.1549	111	28	120.211	80.4537	255	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.8161	8.7164
ECM_Exp2_M30_5D_Scene1.tif	247		CTX	Polygon	3143.1	4730.6	358.2807	180.3035	0.1385	48.9	29.838	0.8184	7.367	5.2146	19	0	24.6376	20.6973	108	0	56.5459	24.2358	134	16	97.8257	68.2862	254	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.8179	8.4028
ECM_Exp2_M30_5D_Scene1.tif	280		CTX	Polygon	3055.3	4859.5	359.9707	134.6571	0.2495	49.622	18.0547	0.955	42.9815	17.046	71	4	40.6157	27.3621	124	0	56.5	14.6941	98	25	129.8796	53.427	255	31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.9566	8.5055
ECM_Exp2_M30_5D_Scene1.tif	349		CTX	Polygon	4481.6	4573.3	344.7607	161.3637	0.1664	45.2131	17.8143	0.9471	21.5769	16.285	68	0	32.899	32.505	144	1	59.6779	24.9377	165	25	255	0	255	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3601	4.7045	6.9252
