Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M30_5D_Scene1.tif	CTX	Right: CTX	Image	Geometry	4257.5	3872.1	688	567	0	473	12167781.6	15687.9
ECM_Exp2_M30_5D_Scene1.tif	CNU	Right: CNU	Image	Polygon	4611	6215.2	623	567	0	27	304350.5	2857.5
ECM_Exp2_M30_5D_Scene1.tif	CTX	Left: CTX	Image	Geometry	7249	3803.3	688	567	0	2189	12573958.4	15791.1
ECM_Exp2_M30_5D_Scene1.tif	CNU	Left: CNU	Image	Polygon	6901.3	6082.9	623	567	0	83	290192.1	2730.2
ECM_Exp2_M30_5D_Scene1.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7411.2	5140.2	1009	997	0	32	230779.1	3617.4
ECM_Exp2_M30_5D_Scene1.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4059.2	5216.6	1009	997	0	6	232693.5	3661.1
