"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M21","30D","CNU","Scene2","18202",4301.7,5323.2,7924.1
"2","M21","30D","CTX","Scene5","30636",6823.8,1191.6,3343.1
"3","M21","30D","CTX","Scene6","8154",7533.3,1536.6,8812
"4","M21","30D","IB","Scene7","43422",8257.4,3631.3,7590.4
"5","M21","30D","IB","Scene6","23785",7533.3,3819.9,8359.5
"6","M21","30D","fiber tracts","Scene7","2336",8257.4,5225.5,9494.1
"7","M21","30D","MB","Scene6","30574",7533.3,3310.8,6144.8
"8","M21","30D","CTX","Scene5","13240",6823.8,2634.1,6308.4
"9","M21","30D","CTX","Scene6","38661",7533.3,6158.1,3840.4
"10","M21","30D","fiber tracts","Scene7","1209",8257.4,4612.1,4515.4
"11","M21","30D","CTX","Scene7","25381",8257.4,2133.6,9498.3
"12","M21","30D","MB","Scene7","19724",8257.4,2969.8,5445.9
"13","M21","30D","CNU","Scene3","5724",5254.5,4420.7,6484.8
"14","M21","30D","IB","Scene6","41341",7533.3,3606,4942.8
"15","M21","30D","fiber tracts","Scene7","1905",8257.4,1512.1,7488.9
"16","M21","30D","CNU","Scene3","9808",5254.5,7042.6,7252.7
"17","M21","30D","CTX","Scene6","39338",7533.3,6604.6,2741.2
"18","M21","30D","CTX","Scene3","16968",5254.5,3425.5,9951.8
"19","M21","30D","CTX","Scene7","23623",8257.4,1227.3,8832.4
"20","M21","30D","CTX","Scene5","35566",6823.8,6751.8,2502.5
"21","M21","30D","fiber tracts","Scene6","141",7533.3,1383,3627.6
"22","M21","30D","CNU","Scene2","19203",4301.7,5853,6496.8
"23","M21","30D","CTX","Scene6","39833",7533.3,6894.1,2780
"24","M21","30D","CTX","Scene5","35590",6823.8,6789.9,2709.6
"25","M21","30D","CTX","Scene3","17875",5254.5,4196.2,9406.3
"26","M21","30D","fiber tracts","Scene4","12157",5954.5,6828.9,4813.2
"27","M21","30D","CTX","Scene3","31974",5254.5,1425.7,4240.9
"28","M21","30D","CNU","Scene3","27009",5254.5,4954.8,3222.5
"29","M21","30D","CTX","Scene1","423",3225.4,2294.7,8213.2
"30","M21","30D","MB","Scene6","30635",7533.3,3404.9,5949.4
"31","M21","30D","CNU","Scene3","25024",5254.5,4303.2,4298.4
"32","M21","30D","CNU","Scene2","1232",4301.7,4294.8,4245.9
"33","M21","30D","CTX","Scene5","9184",6823.8,2702.1,9533.1
"34","M21","30D","IB","Scene6","45489",7533.3,5638.4,4213.9
"35","M21","30D","CNU","Scene5","5733",6823.8,6358.8,7814.1
"36","M21","30D","CTX","Scene6","12858",7533.3,2943.5,10091.8
"37","M21","30D","CTX","Scene7","12844",8257.4,5793.1,3054.3
"38","M21","30D","CTX","Scene3","16387",5254.5,3010.4,9044.5
"39","M21","30D","CTX","Scene7","26892",8257.4,540.6,7166.5
"40","M21","30D","CTX","Scene2","26302",4301.7,2470.7,5870.1
"41","M21","30D","CTX","Scene1","15138",3225.4,2319.5,2969.1
"42","M21","30D","CTX","Scene3","15099",5254.5,2011.3,6719.8
"43","M21","30D","CTX","Scene1","8398",3225.4,4073,6734.2
"44","M21","30D","CNU","Scene2","4277",4301.7,5773.2,4825.8
"45","M21","30D","CTX","Scene7","40814",8257.4,6422.5,8669.5
"46","M21","30D","CTX","Scene5","20672",6823.8,7169.1,8321.4
"47","M21","30D","CTX","Scene7","39730",8257.4,6008.9,10146
"48","M21","30D","CTX","Scene1","13922",3225.4,3447.9,4476.9
"49","M21","30D","CNU","Scene2","1791",4301.7,4513.3,3246.6
"50","M21","30D","CNU","Scene3","1448",5254.5,3797.4,8428.6
"51","M21","30D","CNU","Scene2","18011",4301.7,5247.2,7873.4
"52","M21","30D","CNU","Scene3","8542",5254.5,7169.3,8036.4
"53","M21","30D","CTX","Scene2","10410",4301.7,2691.1,2824.8
"54","M21","30D","CTX","Scene7","8801",8257.4,4637.4,2724.9
"55","M21","30D","CNU","Scene2","20475",4301.7,6671.3,6290.5
"56","M21","30D","CTX","Scene6","19997",7533.3,5817.6,8976.8
"57","M21","30D","CTX","Scene2","7965",4301.7,2125.3,4268.8
"58","M21","30D","CTX","Scene2","26043",4301.7,2347,6395.8
"59","M21","30D","IB","Scene4","33962",5954.5,6175.8,7269.8
"60","M21","30D","CTX","Scene3","17644",5254.5,4005,9442.5
"61","M21","30D","IB","Scene7","43318",8257.4,3529.9,7505
"62","M21","30D","IB","Scene4","33364",5954.5,5735.6,6079.4
"63","M21","30D","CTX","Scene6","37805",7533.3,4000,1511.3
"64","M21","30D","CTX","Scene3","11140",5254.5,2157.8,9388.2
"65","M21","30D","CTX","Scene6","14150",7533.3,3768.4,9939.8
"66","M21","30D","CNU","Scene3","869",5254.5,3387.9,8528
"67","M21","30D","CTX","Scene7","27946",8257.4,835.2,8201.5
"68","M21","30D","CTX","Scene5","8661",6823.8,2369.2,9728
"69","M21","30D","IB","Scene5","35834",6823.8,3140.6,5478
"70","M21","30D","IB","Scene5","26570",6823.8,5915.7,6944.7
"71","M21","30D","MB","Scene7","22437",8257.4,5127.5,5656.9
"72","M21","30D","CTX","Scene6","33881",7533.3,1374.7,5258.6
"73","M21","30D","CNU","Scene3","3773",5254.5,3157.6,5743.1
"74","M21","30D","IB","Scene3","21162",5254.5,6422.6,5756.4
"75","M21","30D","CTX","Scene1","21079",3225.4,4528.7,3467.8
"76","M21","30D","MB","Scene7","19066",8257.4,2642.9,5255.2
"77","M21","30D","CTX","Scene1","10486",3225.4,5900.1,5924.1
"78","M21","30D","CTX","Scene4","25928",5954.5,3481.8,9685.1
