"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"6010","M31","5D","CNU","Scene3",10494,5317.4,4204.7,9163.6
"6011","M31","5D","CTX","Scene1",1685,3223.6,4405.4,6621.1
"6012","M31","5D","CTX","Scene3",40725,5317.4,1538,5567.4
"6013","M31","5D","CNU","Scene2",4216,4338.9,5186.4,5171.7
"6014","M31","5D","CTX","Scene1",5864,3223.6,4421.7,4108.5
"6015","M31","5D","CTX","Scene2",9395,4338.9,1359.9,4767.1
"6016","M31","5D","CTX","Scene3",42380,5317.4,5466.8,2290
"6017","M31","5D","IB","Scene6",8932,7141.4,4427.4,3956.8
"6018","M31","5D","CNU","Scene3",9127,5317.4,5638.7,8723.1
"6019","M31","5D","fiber tracts","Scene2",16987,4338.9,2927.5,4317.6
"6020","M31","5D","CNU","Scene2",19636,4338.9,6722.8,7154.6
"6021","M31","5D","CNU","Scene2",18377,4338.9,3713.5,7353.9
"6022","M31","5D","CTX","Scene6",2112,7141.4,2787.1,1309.3
"6023","M31","5D","CTX","Scene2",12072,4338.9,2310.6,4341
"6024","M31","5D","CNU","Scene2",23524,4338.9,6766.1,7257
"6025","M31","5D","CNU","Scene2",22014,4338.9,3306.8,7636.5
"6026","M31","5D","CTX","Scene3",21710,5317.4,1627.9,7789.2
"6027","M31","5D","CTX","Scene2",37225,4338.9,3017.7,8537.5
"6028","M31","5D","CNU","Scene2",2763,4338.9,6281.9,5467.3
"6029","M31","5D","CTX","Scene1",434,3223.6,1753.7,6196.5
"6030","M31","5D","CNU","Scene3",29698,5317.4,2682.5,3849.1
"6031","M31","5D","CTX","Scene3",17888,5317.4,2862.5,8997.7
"6032","M31","5D","CTX","Scene6",6057,7141.4,3046.2,1224.1
"6033","M31","5D","CTX","Scene2",33226,4338.9,2310.9,6572.1
"6034","M31","5D","CNU","Scene3",27407,5317.4,4533.6,3489.8
"6035","M31","5D","CTX","Scene3",42601,5317.4,1748.4,4843
"6036","M31","5D","CTX","Scene6",1335,7141.4,795.7,4030
"6037","M31","5D","CTX","Scene2",11636,4338.9,2819,5103.8
"6038","M31","5D","CTX","Scene6",7373,7141.4,1489.2,1766.1
"6039","M31","5D","CTX","Scene2",12178,4338.9,2471.9,5489.4
"6040","M31","5D","CTX","Scene2",8985,4338.9,1134.6,5232
"6041","M31","5D","CTX","Scene2",39882,4338.9,1160.7,6656.5
"6042","M31","5D","CTX","Scene2",12242,4338.9,1427.8,5518.8
"6043","M31","5D","CNU","Scene2",22359,4338.9,6692.2,6799.6
"6044","M31","5D","CTX","Scene3",19717,5317.4,1558.9,6010.3
"6045","M31","5D","fiber tracts","Scene2",16558,4338.9,2861.1,4783.7
"6046","M31","5D","CNU","Scene2",1009,4338.9,6696.1,3744.2
"6047","M31","5D","CTX","Scene3",25124,5317.4,1197.9,7756.3
"6048","M31","5D","CTX","Scene6",7286,7141.4,1273.5,4104.5
"6049","M31","5D","CTX","Scene1",5658,3223.6,3839.2,5468
"6050","M31","5D","CTX","Scene3",21564,5317.4,2928.7,9445.3
"6051","M31","5D","fiber tracts","Scene6",10947,7141.4,3454.6,2923.2
"6052","M31","5D","CTX","Scene3",43249,5317.4,2195.9,3050.9
"6053","M31","5D","IB","Scene3",45220,5317.4,5470,5627.2
"6054","M31","5D","IB","Scene3",45596,5317.4,6285.4,4606.7
"6055","M31","5D","CTX","Scene3",23638,5317.4,1787.1,8038.7
"6056","M31","5D","CNU","Scene3",13430,5317.4,6524.3,7578.5
"6057","M31","5D","CTX","Scene2",10500,4338.9,2283.6,4868.5
"6058","M31","5D","CTX","Scene3",38533,5317.4,1273.6,4931.2
"6059","M31","5D","CTX","Scene3",13809,5317.4,2703.7,9265.7
"6060","M31","5D","CNU","Scene3",34023,5317.4,5065.5,2433.7
"6061","M31","5D","CTX","Scene2",31772,4338.9,2919.1,8311.4
"6062","M31","5D","fiber tracts","Scene3",1849,5317.4,2775.8,5947.3
"6063","M31","5D","CNU","Scene2",18585,4338.9,4756.9,6248.9
"6064","M31","5D","CTX","Scene2",11221,4338.9,3687,2618.5
"6065","M31","5D","CTX","Scene2",39210,4338.9,1924.4,6724.2
"6066","M31","5D","CTX","Scene2",31783,4338.9,3967.2,9731.6
"6067","M31","5D","fiber tracts","Scene3",2326,5317.4,5584.5,7535
"6068","M31","5D","fiber tracts","Scene2",17443,4338.9,6524.9,3047.8
"6069","M31","5D","CNU","Scene2",21282,4338.9,4468.1,7999.3
"6070","M31","5D","CNU","Scene2",27279,4338.9,7067,6444.3
"6071","M31","5D","CNU","Scene3",4713,5317.4,3427.5,6074.6
"6072","M31","5D","CNU","Scene3",10805,5317.4,2622.6,7141.5
"6073","M31","5D","CNU","Scene2",21579,4338.9,4852.2,6197.4
"6074","M31","5D","CTX","Scene3",13957,5317.4,1062.6,6601.4
"6075","M31","5D","IB","Scene3",45450,5317.4,5904.5,5649
"6076","M31","5D","CTX","Scene2",10680,4338.9,2676.7,3877.3
"6077","M31","5D","CNU","Scene3",6852,5317.4,5779.5,8179.7
"6078","M31","5D","CNU","Scene2",3154,4338.9,5313,3360.6
"6079","M31","5D","CNU","Scene2",21897,4338.9,6086.5,7129.2
"6080","M31","5D","CTX","Scene2",9705,4338.9,2973.8,5595.4
"6081","M31","5D","CTX","Scene3",37096,5317.4,6465.4,2711.1
"6082","M31","5D","CTX","Scene2",33312,4338.9,5852.5,8996.1
"6083","M31","5D","CTX","Scene3",36917,5317.4,1353.3,2692.4
"6084","M31","5D","CNU","Scene3",33848,5317.4,4832,4508.4
"6085","M31","5D","CNU","Scene2",2731,4338.9,5041.7,4041.2
"6086","M31","5D","CTX","Scene3",41819,5317.4,2017.4,3487.2
"6087","M31","5D","CNU","Scene2",764,4338.9,5934.4,3576.8
