"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M36","15D","CNU","Scene4",496,6066.9,3837.5,8415.7
"2","M36","15D","CTX","Scene3",1835,5321.9,1657.6,5717.7
"3","M36","15D","CTX","Scene4",2472,6066.9,3325.9,9186.3
"4","M36","15D","CTX","Scene6",8955,7579.7,5081.3,1598.1
"5","M36","15D","IB","Scene4",10465,6066.9,5200.1,4444.9
"6","M36","15D","CTX","Scene7",13453,8477.9,3045.9,1167.9
"7","M36","15D","IB","Scene4",11033,6066.9,5824.1,4289.9
"8","M36","15D","fiber tracts","Scene7",8656,8477.9,5561.6,7417.2
"9","M36","15D","MB","Scene7",23247,8477.9,5534.1,4340.9
"10","M36","15D","fiber tracts","Scene5",12607,6663.3,3656.9,2776.3
"11","M36","15D","MB","Scene7",21471,8477.9,3133.2,5447.6
"12","M36","15D","CNU","Scene3",4626,5321.9,3949.5,5297.5
"13","M36","15D","CTX","Scene6",929,7579.7,1938.9,4858.8
"14","M36","15D","IB","Scene4",11671,6066.9,6371.6,4403.8
"15","M36","15D","CTX","Scene5",8050,6663.3,6967.8,2828.2
"16","M36","15D","CTX","Scene1",3882,3368.5,4860.5,3157.1
"17","M36","15D","CTX","Scene3",8487,5321.9,1653.8,4253.3
"18","M36","15D","fiber tracts","Scene4",12690,6066.9,3072.3,4443.3
"19","M36","15D","IB","Scene6",11925,7579.7,3853.3,4225.2
"20","M36","15D","CTX","Scene5",3170,6663.3,2343.9,5355.2
"21","M36","15D","CTX","Scene5",3958,6663.3,1657.8,2783.7
"22","M36","15D","MB","Scene7",6113,8477.9,5227.9,7724.6
"23","M36","15D","CTX","Scene7",10834,8477.9,1440.7,2137.5
"24","M36","15D","CTX","Scene7",567,8477.9,192.3,6655.2
"25","M36","15D","CTX","Scene2",8176,4180.6,3708.1,2466
"26","M36","15D","CNU","Scene2",1952,4180.6,3520.6,3688.7
"27","M36","15D","CTX","Scene6",4850,7579.7,3061.9,2240.6
"28","M36","15D","CTX","Scene7",9434,8477.9,1114.6,3610.9
"29","M36","15D","CNU","Scene2",3543,4180.6,4567.4,4395.2
"30","M36","15D","CTX","Scene6",20730,7579.7,4639.6,10603.1
"31","M36","15D","CTX","Scene6",4450,7579.7,2572.3,3894.4
"32","M36","15D","CTX","Scene6",18967,7579.7,2156.2,8639.4
"33","M36","15D","CTX","Scene5",3115,6663.3,2385.1,4144
"34","M36","15D","CTX","Scene7",8883,8477.9,356.5,5257.7
"35","M36","15D","IB","Scene5",11755,6663.3,6415.2,5529.2
"36","M36","15D","CTX","Scene7",19879,8477.9,6451.5,2406.4
"37","M36","15D","CTX","Scene6",1295,7579.7,2402.9,4421.1
"38","M36","15D","CTX","Scene6",8699,7579.7,6838.5,2826.9
"39","M36","15D","fiber tracts","Scene7",8675,8477.9,5598,7399.5
"40","M36","15D","CTX","Scene3",9389,5321.9,2270.4,2165.1
"41","M36","15D","CTX","Scene6",9767,7579.7,6160.1,2462.7
"42","M36","15D","CTX","Scene1",407,3368.5,2025.7,3244.4
"43","M36","15D","MB","Scene7",20978,8477.9,1947.3,4674.7
"44","M36","15D","IB","Scene6",10696,7579.7,4339.7,4285.3
"45","M36","15D","CNU","Scene3",5573,5321.9,3059.4,3226.9
"46","M36","15D","CTX","Scene6",1161,7579.7,2242.8,4635.1
"47","M36","15D","IB","Scene4",11585,6066.9,6257.7,4910.1
"48","M36","15D","CTX","Scene7",29,8477.9,820.7,8749.4
"49","M36","15D","fiber tracts","Scene5",13973,6663.3,2079.1,7939.1
"50","M36","15D","fiber tracts","Scene5",13571,6663.3,4622.8,3409.8
"51","M36","15D","fiber tracts","Scene5",12279,6663.3,2698.4,3922.8
"52","M36","15D","fiber tracts","Scene7",6898,8477.9,2253.4,2310.3
"53","M36","15D","CTX","Scene7",8896,8477.9,438.9,3949.3
"54","M36","15D","IB","Scene5",18449,6663.3,5701.2,6970.5
"55","M36","15D","CNU","Scene2",5990,4180.6,6822.3,4351.7
"56","M36","15D","CTX","Scene6",331,7579.7,480.4,5032.8
"57","M36","15D","CTX","Scene6",20159,7579.7,2726.3,8656.7
"58","M36","15D","CTX","Scene7",16411,8477.9,4566.5,804
"59","M36","15D","CTX","Scene5",6524,6663.3,4447.2,1603.2
"60","M36","15D","CNU","Scene3",5093,5321.9,4711,4817.2
"61","M36","15D","CNU","Scene3",8215,5321.9,7047.4,3681.1
"62","M36","15D","fiber tracts","Scene2",1583,4180.6,6359,8530.9
"63","M36","15D","CTX","Scene7",5027,8477.9,5863.4,8449.8
