Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M39_0D_Scene4.tif	371		CNU	Polygon	8879.8	3846.7	402.2208	120.1995	0.3498	38.4196	27.3285	0.769	105.6378	66.7086	255	0	12.4133	8.0095	37	0	48.0561	21.127	138	17	175.1939	58.7268	255	43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	4.7221	2.4962
ECM_Exp2_M39_0D_Scene4.tif	361		CNU	Polygon	8294.3	3822.9	397.1508	172.515	0.1677	53.2051	27.2416	0.9122	90.6781	51.2781	228	10	9.8155	5.0408	25	0	58.3433	28.2963	129	14	120.2232	81.682	255	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	4.7111	3.1237
ECM_Exp2_M39_0D_Scene4.tif	84		CNU	Polygon	7736.3	2474.6	388.7008	137.321	0.259	46.942	19.5876	0.9332	115.5129	30.2909	189	68	15.0776	5.5137	36	0	48.1293	17.1396	149	24	148.181	67.3933	255	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	3.0609	3.7267
ECM_Exp2_M39_0D_Scene4.tif	431		CNU	Polygon	9122.7	3963.3	376.8708	178.9672	0.1479	47.5187	28.4988	0.8951	22.7261	18.1656	72	3	13.6652	17.1326	114	0	78.8348	41.9395	238	25	142.9522	85.3155	255	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	4.8501	2.2382
ECM_Exp2_M39_0D_Scene4.tif	29		CNU	Polygon	8138.6	2229.3	376.8708	152.6147	0.2033	38.4551	32.74	0.6306	77.4416	28.5717	174	34	14.671	7.7316	46	0	55.9567	26.6655	142	12	188.7576	69.1033	255	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	2.7882	3.2721
ECM_Exp2_M39_0D_Scene4.tif	9		CNU	Polygon	7665.9	2144.8	376.8708	143.6415	0.2295	48.6425	19.3191	0.9513	90.4602	59.2312	255	22	25.2035	12.5915	64	0	101.4558	57.2969	252	18	224.1637	46.2413	255	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	2.6631	3.8041
ECM_Exp2_M39_0D_Scene4.tif	801		CNU	Polygon	7531.4	5536.9	356.5907	143.7994	0.2167	36.3749	23.4861	0.6871	27.1852	26.4646	187	1	6.6019	10.0644	78	0	69.8333	38.9689	249	14	96.8148	86.7744	255	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	6.7286	4.0496
ECM_Exp2_M39_0D_Scene4.tif	444		CNU	Polygon	8073.2	3981.5	361.6607	144.4707	0.2177	38.0991	26.4618	0.7768	33.2791	7.6137	49	8	12.0605	7.9614	41	0	38.8744	13.7894	103	16	167.9488	70.2578	255	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	4.899	3.3712
ECM_Exp2_M39_0D_Scene4.tif	375		CNU	Polygon	8832.4	3864.3	354.9007	170.6124	0.1532	50.1887	24.3465	0.8889	103.4692	62.4372	255	34	12.5166	5.5406	32	0	45.7488	17.3339	115	20	122.4265	80.0658	255	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	4.7444	2.5488
ECM_Exp2_M39_0D_Scene4.tif	506		CNU	Polygon	8249.6	4138.7	344.7607	166.0753	0.1571	54.0896	23.8397	0.9408	33.3143	13.5614	73	13	9.5095	6.1265	33	0	71.019	36.1948	174	16	197.5143	71.878	255	53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0177	5.081	3.1911
