Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M39_0D_Scene7.tif	114		CTX	Polygon	4268.1	3172.7	376.8708	185.0495	0.1383	42.2589	33.6106	0.4867	13.4739	6.8155	39	1	9.1348	4.4539	23	0	102.3348	73.265	255	11	28.6565	39.144	150	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	2.0382	8.3614
ECM_Exp2_M39_0D_Scene7.tif	4333		CTX	Polygon	3739.2	6495.6	388.7008	180.8636	0.1493	68.3183	21.4574	0.9637	27.7735	19.7494	105	0	19.3632	14.8217	76	0	67.2222	24.6821	136	22	174.0641	68.3684	255	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	6.0103	8.9442
ECM_Exp2_M39_0D_Scene7.tif	4884		CTX	Polygon	4798.8	6142.8	390.3908	109.0682	0.4124	44.6553	13.9253	0.9537	35.4831	19.4143	86	6	9.8178	10.5005	62	0	127.1483	42.8199	250	44	154.2669	69.3906	255	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	5.6907	7.8648
ECM_Exp2_M39_0D_Scene7.tif	4137		CTX	Polygon	3378.6	6327.5	380.2508	191.1503	0.1308	39.7121	32.3964	0.5358	22.0921	17.9349	82	1	20.9693	11.656	59	2	43.9868	16.7814	121	22	104.6184	92.3128	255	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	5.7967	9.2917
ECM_Exp2_M39_0D_Scene7.tif	2010		CTX	Polygon	3332.6	4376.9	375.1808	166.4673	0.1701	55.8928	22.4525	0.9591	36.6594	31.085	139	0	12.2314	7.2083	46	0	75.6725	34.2882	218	22	157.7948	77.4031	255	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	3.4899	9.3214
ECM_Exp2_M39_0D_Scene7.tif	3507		CTX	Polygon	2045	5766.7	387.0108	112.6426	0.3833	38.3492	18.8913	0.8955	44.6739	22.1681	102	3	18.2304	8.4339	66	5	32.7652	8.7431	59	16	194.5826	59.439	255	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	5.0933	10.5984
ECM_Exp2_M39_0D_Scene7.tif	2175		CTX	Polygon	3482.3	4515.5	380.2508	163.7582	0.1782	49.157	22.0524	0.9119	21.5696	12.7516	48	0	11.4957	4.3057	26	0	96.2087	43.8458	227	17	190.5261	66.6236	255	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	3.6601	9.1784
ECM_Exp2_M39_0D_Scene7.tif	3669		CTX	Polygon	3708	5902	380.2508	175.6452	0.1549	57.2666	21.3835	0.9471	23.0522	7.6983	48	4	20.2435	11.4648	55	1	72.9043	34.3207	245	20	184.8174	76.3558	255	25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	5.3027	8.9735
ECM_Exp2_M39_0D_Scene7.tif	3708		CTX	Polygon	3377.4	5942.7	375.1808	175.4866	0.1531	67.9187	16.1533	0.9848	11.837	8.9894	40	0	13.1674	9.6642	50	0	68.1233	38.9054	201	14	46.1586	49.5839	217	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	5.3372	9.2945
ECM_Exp2_M39_0D_Scene7.tif	1493		CTX	Polygon	3296	3996.5	365.0407	198.2584	0.1167	71.6068	23.1341	0.9647	21.8465	7.296	41	6	10.3202	4.0805	24	0	99.2895	59.265	246	14	21.6711	33.4386	192	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2532	3.031	9.347
