Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M39_0D_Scene2.tif	CNU	Right: CNU	Image	Geometry	4993.4	4860.7	623	567	0	301	7430649.4	14392.6
ECM_Exp2_M39_0D_Scene2.tif	CTX	Right: CTX	Image	Geometry	4058.9	3154.5	688	567	0	213	8562287.9	16296.8
ECM_Exp2_M39_0D_Scene2.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7432	3395.6	1009	997	0	89	1026379	11227.3
ECM_Exp2_M39_0D_Scene2.tif	fiber tracts	Right: fiber tracts	Image	Geometry	5063.7	3437	1009	997	0	135	1069063.3	11466.8
ECM_Exp2_M39_0D_Scene2.tif	CNU	Left: CNU	Image	Geometry	7559.2	4829.1	623	567	0	424	7397485.6	14391.5
ECM_Exp2_M39_0D_Scene2.tif	CTX	Left: CTX	Image	Geometry	8417.8	3070.2	688	567	0	319	8399441.9	15994.6
