"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"10288","M41","0D","CNU","Scene2","5339",4619,6230.8,6388.9
"10289","M41","0D","CTX","Scene3","9884",5586.2,4457.4,9502.1
"10290","M41","0D","IB","Scene5","42855",6701,4796.8,4261.3
"10291","M41","0D","CNU","Scene2","2428",4619,4589.7,6191.9
"10292","M41","0D","fiber tracts","Scene6","41652",7975.8,3719.8,9893.6
"10293","M41","0D","CTX","Scene1","6552",3870.4,3609,3142.3
"10294","M41","0D","CTX","Scene6","5143",7975.8,1664.4,7193
"10295","M41","0D","CTX","Scene4","29013",6221,1954.1,2191.1
"10296","M41","0D","CTX","Scene5","27007",6701,1116,5564.7
"10297","M41","0D","IB","Scene4","40906",6221,5329.5,5618.9
"10298","M41","0D","CTX","Scene1","14945",3870.4,4758.8,8901.4
"10299","M41","0D","CNU","Scene5","23762",6701,5433.4,2771.2
"10300","M41","0D","CNU","Scene3","15554",5586.2,3692.1,3353.7
"10301","M41","0D","IB","Scene6","16414",7975.8,4095.1,8307.3
"10302","M41","0D","CTX","Scene4","31696",6221,3361.8,2124.1
"10303","M41","0D","CTX","Scene5","14135",6701,7347.3,8191.5
"10304","M41","0D","CTX","Scene3","10762",5586.2,5746.6,9757.4
"10305","M41","0D","CNU","Scene3","18155",5586.2,6818.1,4406.4
"10306","M41","0D","CNU","Scene2","3648",4619,5956.9,7870.7
"10307","M41","0D","CTX","Scene5","6270",6701,997.8,6667.8
"10308","M41","0D","CTX","Scene1","13515",3870.4,2077.6,6606.6
"10309","M41","0D","CTX","Scene6","5674",7975.8,2131.1,6178.1
"10310","M41","0D","CTX","Scene3","26068",5586.2,3625.5,1524.8
"10311","M41","0D","CNU","Scene4","443",6221,3384,8230.8
"10312","M41","0D","CNU","Scene2","17576",4619,6727.3,5321.9
"10313","M41","0D","CTX","Scene1","13272",3870.4,1746.5,6861
"10314","M41","0D","CTX","Scene6","11886",7975.8,5728.9,8318.3
"10315","M41","0D","CTX","Scene3","8504",5586.2,1985.9,5918.8
"10316","M41","0D","CTX","Scene6","26907",7975.8,3180.2,2305.6
"10317","M41","0D","MB","Scene6","37274",7975.8,3445.9,5455.3
"10318","M41","0D","CNU","Scene3","1058",5586.2,4545.1,8302.5
"10319","M41","0D","CTX","Scene5","28033",6701,1515.8,3430.9
"10320","M41","0D","CTX","Scene1","2094",3870.4,1185.8,4820.2
"10321","M41","0D","IB","Scene6","15852",7975.8,3579.9,7381.8
"10322","M41","0D","CTX","Scene5","7081",6701,1347.3,7450.5
"10323","M41","0D","CTX","Scene3","28655",5586.2,6334.2,2332.6
"10324","M41","0D","CTX","Scene3","27839",5586.2,7000.5,3513.7
"10325","M41","0D","CTX","Scene5","33583",6701,2916.8,1157.9
"10326","M41","0D","IB","Scene4","14836",6221,4878.5,5710
"10327","M41","0D","IB","Scene5","43172",6701,5012.9,4241.3
"10328","M41","0D","CTX","Scene4","34471",6221,5295.1,1477.9
"10329","M41","0D","CTX","Scene2","6585",4619,2133.5,8788.5
"10330","M41","0D","CTX","Scene3","8157",5586.2,1845.9,6205
"10331","M41","0D","IB","Scene6","35111",7975.8,4138.2,3203
"10332","M41","0D","CNU","Scene3","1652",5586.2,3033.5,7131.9
"10333","M41","0D","CTX","Scene5","27420",6701,1290.5,3468.5
"10334","M41","0D","fiber tracts","Scene6","40625",7975.8,3589.4,1603.3
"10335","M41","0D","CNU","Scene2","5216",4619,5958.4,5713.5
"10336","M41","0D","IB","Scene5","40542",6701,3622.2,4067
"10337","M41","0D","CNU","Scene2","15826",4619,3822.6,4080.7
"10338","M41","0D","CTX","Scene4","28635",6221,1770.7,2173.6
"10339","M41","0D","CTX","Scene5","27774",6701,1394,3840.8
"10340","M41","0D","fiber tracts","Scene2","29465",4619,3372.4,5507.8
"10341","M41","0D","CTX","Scene3","29058",5586.2,6777.3,2608.6
"10342","M41","0D","IB","Scene5","40578",6701,3592.6,5027.3
"10343","M41","0D","fiber tracts","Scene6","39768",7975.8,1516.5,3180.1
"10344","M41","0D","CTX","Scene3","10367",5586.2,5068.4,10003.4
"10345","M41","0D","CTX","Scene1","2573",3870.4,1548.5,5240.5
"10346","M41","0D","CTX","Scene5","26028",6701,775.6,4318.9
