"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M04","15D","CTX","Scene2","27100",4121.8,4165,8710.1
"2","M04","15D","CTX","Scene5","7360",6166.2,2817.4,10172.5
"3","M04","15D","CTX","Scene4","19292",5654.5,1015.4,7224.3
"4","M04","15D","CNU","Scene3","3163",5310.7,3258.3,7414.4
"5","M04","15D","CTX","Scene2","25018",4121.8,1966.4,7561.6
"6","M04","15D","CTX","Scene5","10521",6166.2,1852.1,6075.1
"7","M04","15D","CTX","Scene2","27430",4121.8,4428.2,9520.4
"8","M04","15D","CNU","Scene3","19069",5310.7,4633.5,4741.3
"9","M04","15D","CTX","Scene6","19117",7012,3521.9,10445.1
"10","M04","15D","CTX","Scene3","22980",5310.7,2047.8,4545.1
"11","M04","15D","CTX","Scene3","21623",5310.7,1397.4,3791.8
"12","M04","15D","IB","Scene5","17735",6166.2,4901.8,6284.3
"13","M04","15D","CNU","Scene2","12817",4121.8,3874.6,7970.8
"14","M04","15D","IB","Scene6","24343",7012,3792.7,7505.6
"15","M04","15D","CTX","Scene7","1851",7687.1,1094.8,3939.5
"16","M04","15D","fiber tracts","Scene4","1166",5654.5,4481.8,6209.9
"17","M04","15D","CTX","Scene3","13719",5310.7,1933.4,6492.5
"18","M04","15D","CNU","Scene2","1430",4121.8,4691.4,5666.1
"19","M04","15D","CTX","Scene1","6707",3219.9,1612.6,4698.2
"20","M04","15D","fiber tracts","Scene3","26799",5310.7,4484.9,5511
"21","M04","15D","CTX","Scene2","27772",4121.8,4770.3,8953.2
"22","M04","15D","CTX","Scene5","13689",6166.2,5533.4,10021.3
"23","M04","15D","CTX","Scene5","21046",6166.2,976,3727.9
"24","M04","15D","CTX","Scene3","25055",5310.7,2486.5,3126.8
"25","M04","15D","CTX","Scene3","23651",5310.7,2455.7,5330
"26","M04","15D","CNU","Scene2","13589",4121.8,4259.8,6977.1
"27","M04","15D","CNU","Scene2","16509",4121.8,5530.8,6570.2
"28","M04","15D","fiber tracts","Scene4","1471",5654.5,5185.2,5969.3
"29","M04","15D","CTX","Scene7","14834",7687.1,5192.3,10117.4
"30","M04","15D","CNU","Scene2","16346",4121.8,5417.4,7530.3
"31","M04","15D","CTX","Scene6","13087",7012,1916.1,8830.3
"32","M04","15D","CTX","Scene4","22938",5654.5,3763,9290.3
"33","M04","15D","CNU","Scene4","15800",5654.5,7093.7,7381
"34","M04","15D","IB","Scene5","18839",6166.2,6288.5,5728.5
"35","M04","15D","CTX","Scene3","24375",5310.7,1944.9,3014.1
"36","M04","15D","CTX","Scene6","164",7012,569.2,5408.3
"37","M04","15D","IB","Scene6","4632",7012,4877.7,5065.6
"38","M04","15D","CTX","Scene4","24657",5654.5,5352.4,9717.1
"39","M04","15D","CTX","Scene7","14918",7687.1,5319.9,9902.4
"40","M04","15D","CNU","Scene3","5808",5310.7,5618,8665.9
"41","M04","15D","IB","Scene5","26267",6166.2,5408.7,4758.1
"42","M04","15D","CTX","Scene6","17973",7012,2624.6,10482.9
"43","M04","15D","CTX","Scene5","9970",6166.2,1522.9,5955
"44","M04","15D","CNU","Scene4","11151",5654.5,4010.2,8663.3
"45","M04","15D","CTX","Scene6","629",7012,777.8,4509.9
"46","M04","15D","CNU","Scene2","1425",4121.8,4690.8,4975
"47","M04","15D","CTX","Scene5","13281",6166.2,5189,9875.6
"48","M04","15D","CNU","Scene4","10240",5654.5,3335.7,7619.1
"49","M04","15D","CTX","Scene7","12854",7687.1,3490.1,10787.7
"50","M04","15D","CTX","Scene6","1679",7012,1105.5,4849.9
"51","M04","15D","CTX","Scene5","12763",6166.2,4486.6,9783.6
"52","M04","15D","IB","Scene4","9366",5654.5,6795.3,5514.5
"53","M04","15D","fiber tracts","Scene3","27944",5310.7,5437.8,5814.6
"54","M04","15D","CTX","Scene1","5286",3219.9,5455.6,7349.4
"55","M04","15D","CNU","Scene2","454",4121.8,4006,4501.2
"56","M04","15D","CNU","Scene4","11450",5654.5,4198,9035
"57","M04","15D","CTX","Scene3","24275",5310.7,1852.4,3218.5
"58","M04","15D","CTX","Scene3","21130",5310.7,1165.9,3810.8
"59","M04","15D","CTX","Scene5","6483",6166.2,2221,8937.4
"60","M04","15D","CTX","Scene2","9996",4121.8,4169.5,2487.6
"61","M04","15D","CTX","Scene2","21148",4121.8,2618,8369
"62","M04","15D","IB","Scene6","28703",7012,5903.2,6236.9
"63","M04","15D","CTX","Scene2","24955",4121.8,1893.2,6417
"64","M04","15D","MB","Scene7","21283",7687.1,2733.9,6524.2
"65","M04","15D","IB","Scene5","16193",6166.2,3382.9,6418.9
"66","M04","15D","CTX","Scene1","8577",3219.9,3894.8,5201.4
"67","M04","15D","CTX","Scene4","22123",5654.5,3059.1,9226.9
"68","M04","15D","IB","Scene4","26938",5654.5,5057.1,5993.4
"69","M04","15D","CTX","Scene6","21973",7012,6129.6,9302.9
"70","M04","15D","CTX","Scene7","16334",7687.1,6462.8,8621.6
"71","M04","15D","CNU","Scene3","6068",5310.7,6025,8014.7
"72","M04","15D","CTX","Scene1","2416",3219.9,1941.3,6553.5
"73","M04","15D","IB","Scene6","6220",7012,6172.7,4622.7
"74","M04","15D","CTX","Scene3","7684",5310.7,1289.5,8179.7
"75","M04","15D","CNU","Scene2","15033",4121.8,4852.7,6237.4
"76","M04","15D","CNU","Scene2","1297",4121.8,4616.3,4291.4
"77","M04","15D","CTX","Scene6","12898",7012,1771.8,8869.3
"78","M04","15D","CTX","Scene3","9273",5310.7,2332.7,9376
"79","M04","15D","CTX","Scene3","9693",5310.7,2562.6,9078.3
"80","M04","15D","CTX","Scene4","6677",5654.5,1357.9,3333.1
"81","M04","15D","CTX","Scene3","23581",5310.7,2356.5,5557
"82","M04","15D","CTX","Scene2","5006",4121.8,1222.8,4743.9
"83","M04","15D","CTX","Scene6","18591",7012,3140.6,10095.2
"84","M04","15D","CTX","Scene2","7847",4121.8,2644.7,3778.9
"85","M04","15D","CTX","Scene3","14199",5310.7,2214.9,7493.7
"86","M04","15D","CTX","Scene7","7802",7687.1,2380.8,9642.6
"87","M04","15D","CTX","Scene2","22309",4121.8,3310.4,8657.7
"88","M04","15D","CTX","Scene5","5981",6166.2,1924.6,8353.7
"89","M04","15D","CTX","Scene6","15770",7012,1012.7,7344.9
"90","M04","15D","CTX","Scene4","3970",5654.5,1069.5,4774.6
"91","M04","15D","CTX","Scene5","23141",6166.2,1960.5,3355.6
"92","M04","15D","CTX","Scene6","21105",7012,5584.4,8832.5
"93","M04","15D","CTX","Scene7","680",7687.1,661.2,5246.9
"94","M04","15D","CTX","Scene6","21551",7012,5818.8,9732.9
"95","M04","15D","IB","Scene6","5919",7012,5878.7,5454.5
"96","M04","15D","CTX","Scene2","26843",4121.8,4006.5,8942.9
"97","M04","15D","CNU","Scene2","13076",4121.8,4011.7,7308.1
"98","M04","15D","CNU","Scene3","4292",5310.7,4191.7,5754.5
"99","M04","15D","CTX","Scene6","19127",7012,3535,10255.6
"100","M04","15D","CTX","Scene6","22670",7012,6580.2,9830.7
"101","M04","15D","CTX","Scene1","4598",3219.9,4281,7532
"102","M04","15D","CTX","Scene6","3321",7012,7037.6,2598.3
"103","M04","15D","fiber tracts","Scene5","1179",6166.2,3075.1,6793
"104","M04","15D","CTX","Scene1","3066",3219.9,2731.7,6513.4
"105","M04","15D","CTX","Scene2","6268",4121.8,1770.3,5171.7
"106","M04","15D","IB","Scene4","27829",5654.5,6294.9,6147.5
"107","M04","15D","CNU","Scene2","13502",4121.8,4226.2,7564.6
"108","M04","15D","CTX","Scene1","3004",3219.9,2656.4,6513.3
"109","M04","15D","CNU","Scene3","975",5310.7,3555.6,8078.8
"110","M04","15D","CTX","Scene7","10196",7687.1,1091.6,6281.6
"111","M04","15D","CTX","Scene6","17852",7012,2570.5,9380.4
"112","M04","15D","CTX","Scene7","4224",7687.1,5812.1,2595.4
"113","M04","15D","IB","Scene4","8964",5654.5,6526,5454.6
"114","M04","15D","CTX","Scene6","16782",7012,1539.7,6810.2
"115","M04","15D","CTX","Scene3","14698",5310.7,4148.1,9866.4
"116","M04","15D","CTX","Scene6","23072",7012,6963.9,8549.8
"117","M04","15D","fiber tracts","Scene5","735",6166.2,3721.7,7848.9
"118","M04","15D","CTX","Scene3","12650",5310.7,1441.3,6443.1
"119","M04","15D","IB","Scene6","3334",7012,2874.8,5392.3
"120","M04","15D","CTX","Scene3","7666",5310.7,1272.7,8195.6
"121","M04","15D","CTX","Scene6","17227",7012,2267.7,7320.5
"122","M04","15D","CTX","Scene3","14788",5310.7,4226.4,10168.5
"123","M04","15D","CNU","Scene3","4768",5310.7,4613.5,6386.2
"124","M04","15D","IB","Scene6","29330",7012,6443.5,5931.5
