"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"7038","M37","15D","CTX","Scene1",3428,3496.9,4841.5,4475.2
"7039","M37","15D","CNU","Scene5",300,6671.2,4948.4,8521.5
"7040","M37","15D","CNU","Scene4",3321,5993,5050.3,2707
"7041","M37","15D","CNU","Scene4",24270,5993,4366.4,9337.4
"7042","M37","15D","fiber tracts","Scene7",268,8200.5,2151.9,2268.2
"7043","M37","15D","CNU","Scene5",18508,6671.2,5673.2,4142.7
"7044","M37","15D","IB","Scene6",25540,7168.2,7028.6,5136.7
"7045","M37","15D","CNU","Scene2",72,4292,3845.2,3944
"7046","M37","15D","CNU","Scene3",568,4976.9,4953.4,8529.2
"7047","M37","15D","CTX","Scene7",12874,8200.5,6809.4,2108
"7048","M37","15D","CTX","Scene4",34245,5993,1841.4,6236.4
"7049","M37","15D","CNU","Scene4",26930,5993,4522.3,7738.7
"7050","M37","15D","CTX","Scene5",26949,6671.2,3245.6,1159.3
"7051","M37","15D","CTX","Scene5",5858,6671.2,5705.6,9814.5
"7052","M37","15D","CNU","Scene3",6844,4976.9,5037.3,3272.1
"7053","M37","15D","fiber tracts","Scene4",20281,5993,1893.6,4862.9
"7054","M37","15D","CTX","Scene1",6340,3496.9,4682.8,3158.7
"7055","M37","15D","CTX","Scene7",8856,8200.5,5107.8,824.9
"7056","M37","15D","CNU","Scene4",24535,5993,5005.8,7478.6
"7057","M37","15D","IB","Scene5",34288,6671.2,4701.3,3595.7
"7058","M37","15D","CTX","Scene6",13030,7168.2,1513.6,1916.6
"7059","M37","15D","IB","Scene4",19204,5993,5579.5,4293.6
"7060","M37","15D","fiber tracts","Scene6",1521,7168.2,4387.2,2944.1
"7061","M37","15D","CNU","Scene6",12206,7168.2,6866.3,3671.4
"7062","M37","15D","MB","Scene7",16931,8200.5,2998.3,5281.8
"7063","M37","15D","CTX","Scene7",14058,8200.5,2950.8,2425.4
"7064","M37","15D","IB","Scene5",15655,6671.2,3276.3,7251.4
"7065","M37","15D","CTX","Scene6",6676,7168.2,1503.5,6718.9
"7066","M37","15D","CTX","Scene7",7515,8200.5,4466.2,2122.7
"7067","M37","15D","CNU","Scene3",6213,4976.9,5309.9,2699.8
"7068","M37","15D","IB","Scene5",35595,6671.2,3996.5,5431.5
"7069","M37","15D","CTX","Scene4",9091,5993,3307.6,1845.7
"7070","M37","15D","CNU","Scene5",19358,6671.2,5412.7,3053.9
"7071","M37","15D","CTX","Scene6",23825,7168.2,1894.5,4599.7
"7072","M37","15D","CTX","Scene5",7298,6671.2,1707.8,7115.7
"7073","M37","15D","IB","Scene5",37783,6671.2,5420.8,5217.7
"7074","M37","15D","CNU","Scene3",2400,4976.9,3495.7,5022.4
"7075","M37","15D","CTX","Scene5",29909,6671.2,3854,1205.1
"7076","M37","15D","CTX","Scene1",1973,3496.9,5632.7,5019.1
"7077","M37","15D","fiber tracts","Scene6",3013,7168.2,2052.7,5853.5
"7078","M37","15D","CNU","Scene4",4489,5993,3373.7,2935.2
"7079","M37","15D","CNU","Scene2",3773,4292,4819.5,7656.6
"7080","M37","15D","fiber tracts","Scene4",23533,5993,1929.4,6676.9
"7081","M37","15D","CTX","Scene5",7620,6671.2,4230.2,9814.8
"7082","M37","15D","IB","Scene4",19190,5993,4425.6,4311.2
"7083","M37","15D","CTX","Scene1",5068,3496.9,4745.3,2643.1
"7084","M37","15D","CTX","Scene5",28405,6671.2,4969.4,1076.5
"7085","M37","15D","CTX","Scene5",28630,6671.2,5119.8,1686.9
"7086","M37","15D","CNU","Scene4",27713,5993,6137.7,7782.8
"7087","M37","15D","CTX","Scene6",19768,7168.2,2169.5,5117.8
"7088","M37","15D","IB","Scene6",25715,7168.2,4429.7,4211.3
"7089","M37","15D","CTX","Scene7",8507,8200.5,2553.1,2789.9
"7090","M37","15D","CNU","Scene4",24791,5993,5434.2,8785.4
"7091","M37","15D","CNU","Scene4",3593,5993,5089.4,4059.5
"7092","M37","15D","CTX","Scene7",7840,8200.5,4143.2,836.3
"7093","M37","15D","CTX","Scene7",3205,8200.5,1359.9,6280.3
"7094","M37","15D","CTX","Scene7",5478,8200.5,3243.1,2266.4
"7095","M37","15D","CNU","Scene5",1070,6671.2,5711.3,8235.4
"7096","M37","15D","CNU","Scene2",1430,4292,4239.8,3514.7
"7097","M37","15D","CNU","Scene3",5962,4976.9,5311.7,3116.9
"7098","M37","15D","CNU","Scene5",16756,6671.2,4499,2502.6
"7099","M37","15D","CTX","Scene4",28584,5993,1650.5,9037.7
"7100","M37","15D","IB","Scene4",18503,5993,5141.5,5022.1
"7101","M37","15D","CTX","Scene7",11412,8200.5,4622.7,1404.8
"7102","M37","15D","CTX","Scene5",9386,6671.2,7401.9,9022.8
"7103","M37","15D","CTX","Scene6",15956,7168.2,1835.3,1695.8
"7104","M37","15D","fiber tracts","Scene6",1504,7168.2,4654.4,3036.9
"7105","M37","15D","CTX","Scene5",10518,6671.2,4300.2,9970.9
"7106","M37","15D","IB","Scene6",26018,7168.2,4138.6,3286.4
"7107","M37","15D","IB","Scene6",27270,7168.2,3079,4126.7
"7108","M37","15D","CTX","Scene5",32632,6671.2,3148.8,1875.6
"7109","M37","15D","CNU","Scene2",1556,4292,4949.4,3296.8
"7110","M37","15D","CNU","Scene2",1913,4292,6495,3274.8
"7111","M37","15D","CTX","Scene7",5269,8200.5,2522.1,2337.7
