Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M43_0D_Scene2.tif	CNU	Right: CNU	Image	Geometry	4933.6	4371	623	567	0	421	9041499.3	18485.4
ECM_Exp2_M43_0D_Scene2.tif	CTX	Right: CTX	Image	Geometry	3974	2706.9	688	567	0	349	8732692.9	17099.1
ECM_Exp2_M43_0D_Scene2.tif	IB	Right: IB	Image	Geometry	5963.3	5391.2	1129	343	0	3	190305.5	3849
ECM_Exp2_M43_0D_Scene2.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7647.6	3198.5	1009	997	0	114	1026422	13732
ECM_Exp2_M43_0D_Scene2.tif	fiber tracts	Right: fiber tracts	Image	Geometry	5129.4	3215	1009	997	0	174	1090529.5	14205.1
ECM_Exp2_M43_0D_Scene2.tif	CNU	Left: CNU	Image	Geometry	7802.4	4328.7	623	567	0	395	8571148.1	18063.6
ECM_Exp2_M43_0D_Scene2.tif	CTX	Left: CTX	Image	Geometry	8751.9	2634.6	688	567	0	354	8335888.7	16684.3
ECM_Exp2_M43_0D_Scene2.tif	IB	Left: IB	Image	Geometry	6801.1	5364.3	1129	343	0	14	185481.8	3760.2
