Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M02_30D_Scene5.tif	1	Negative	fiber tracts	Polygon	5989.1	3183.7	79.4302	42.9697	0.5406	15.678	8.3273	0.7792	80.9608	28.6768	140	46	60.1569	22.9307	107	26	11.9216	4.5644	22	5	214.549	56.1859	255	60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.3687	4.8611
ECM_Exp2_M02_30D_Scene5.tif	2	Negative	fiber tracts	Polygon	6017.8	3224.4	89.5702	37.4605	0.8021	14.9715	8.5719	0.777	38.7895	10.3073	57	17	64.4386	21.8869	100	25	9.0175	5.3635	24	0	224.4211	31.1752	255	156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.4188	4.8316
ECM_Exp2_M02_30D_Scene5.tif	3	Negative	fiber tracts	Polygon	6003.8	3359.9	111.5402	50.9701	0.5395	19.4899	8.594	0.9396	62.3333	26.9333	120	26	46.087	23.5164	119	20	11.029	5.8911	26	2	228.2029	44.8637	255	107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.5874	4.8518
ECM_Exp2_M02_30D_Scene5.tif	4	Negative	fiber tracts	Polygon	5866.1	3373.1	59.1501	32.6772	0.6961	13.3609	7.3465	0.8301	109.175	27.1509	164	57	81.1	34.6009	151	29	12.125	8.5611	31	0	252.8	11.3571	255	185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.6057	5.0012
ECM_Exp2_M02_30D_Scene5.tif	5	Negative	fiber tracts	Polygon	5715.6	3392.4	113.2302	60.433	0.3896	21.4314	11.6626	0.8259	30.44	8.8306	50	17	52.5467	22.78	106	18	16.3067	4.268	28	7	160.76	76.3229	255	40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.6311	5.1645
ECM_Exp2_M02_30D_Scene5.tif	6	Negative	fiber tracts	Polygon	5899.7	3412.7	42.2501	22.481	1	7.6418	6.3951	0.5324	8	5.7663	19	0	81.68	35.8152	159	26	26.6	12.6919	49	5	218.72	47.9648	255	117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.6546	4.9665
ECM_Exp2_M02_30D_Scene5.tif	7	Negative	fiber tracts	Polygon	6818.1	3505.9	148.7203	51.0123	0.7182	17.9711	13.8014	0.7272	21.5275	3.6768	28	14	60.8022	20.4544	121	27	19.6703	11.1854	56	8	212.022	57.5706	255	76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.7479	3.9696
ECM_Exp2_M02_30D_Scene5.tif	8	Negative	fiber tracts	Polygon	6872.4	3508	108.1602	53.5147	0.4746	17.3135	12.7736	0.7323	20.5294	3.838	29	13	49.3088	16.1109	82	21	15.1029	7.8743	34	5	94.5294	53.0861	193	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.7495	3.9098
ECM_Exp2_M02_30D_Scene5.tif	9	Negative	fiber tracts	Polygon	5709.8	3533	82.8102	40.6618	0.6294	16.9408	7.8617	0.8534	65.0741	23.1825	109	32	53.5	19.0002	96	23	14.3148	1.7996	17	9	233.3148	42.9163	255	104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.8069	5.1763
ECM_Exp2_M02_30D_Scene5.tif	10	Negative	fiber tracts	Polygon	5580.6	3538.8	74.3601	38.5761	0.6279	16.0046	6.9361	0.9176	81.4167	20.1398	128	49	50.7708	20.3253	97	16	18.3333	7.7688	38	3	243.5	17.5499	255	191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6178	1.8148	5.3155
