Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M34_15D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9012.8	4036.3	623	567	0	298	1274279.7	8505
ECM_Exp2_M34_15D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8925.2	2749.9	688	567	0	7989	11802646.5	32108.8
ECM_Exp2_M34_15D_Scene6.tif	IB	Left: IB	Image	Geometry	7250.9	3815	1129	343	0	4435	6208561.2	19124.3
ECM_Exp2_M34_15D_Scene6.tif	MB	Left: MB	Image	Geometry	6642.2	2771.4	313	343	0	106	188998	3991.2
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8258.9	2920.8	1009	997	0	2617	2756608.5	33559.6
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4041.1	3048.2	1009	997	0	937	2977317	34902.8
ECM_Exp2_M34_15D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3458	4284.2	623	567	0	414	1385905.4	8971
ECM_Exp2_M34_15D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3315.5	2871.4	688	567	0	4455	12630489.7	33000.9
ECM_Exp2_M34_15D_Scene6.tif	IB	Right: IB	Image	Geometry	5154.3	3878.4	1129	343	0	619	6446890.6	19432.2
ECM_Exp2_M34_15D_Scene6.tif	MB	Right: MB	Image	Geometry	5618.9	2791.7	313	343	0	46	188633.7	4001.2
