Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M42_0D_Scene2.tif	141		CNU	Polygon	3097.3	3677.3	397.1508	143.0121	0.244	46.0381	22.3796	0.9166	20.0085	6.4102	35	7	22.0769	12.2951	82	7	42.6923	11.8763	79	18	225.7051	50.7164	255	83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5783	3.7886	6.5395
ECM_Exp2_M42_0D_Scene2.tif	188		CNU	Polygon	3357	3851.1	393.7708	117.9528	0.3557	48.4498	12.524	0.9744	15.8475	17.6869	86	0	9.411	6.5886	34	0	38.5042	11.7996	70	11	79.6398	43.9407	200	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5964	3.9675	6.2805
ECM_Exp2_M42_0D_Scene2.tif	329		CNU	Polygon	1413.4	6092.2	376.8708	165.5542	0.1728	67.6954	16.8144	0.9849	35.765	21.4976	94	4	14.2222	8.4092	50	0	55.5556	25.5556	168	23	119.2393	53.5369	247	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.4617	6.4799	8.2074
ECM_Exp2_M42_0D_Scene2.tif	378		CNU	Polygon	2919.8	5778.3	368.4207	148.3449	0.2104	50.1169	21.6171	0.9407	19.4304	11.7444	47	0	16.0652	12.2285	56	0	42.5522	14.4583	90	20	117.4609	96.8116	255	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.563	6.107	6.7589
ECM_Exp2_M42_0D_Scene2.tif	37		CNU	Polygon	3477.6	3399.8	383.6308	158.4845	0.1919	47.4937	24.55	0.8819	32.4123	15.833	69	7	12.0351	1.8101	22	4	51.0088	13.0917	106	26	112.3289	77.1476	248	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.6048	3.462	6.1608
ECM_Exp2_M42_0D_Scene2.tif	300		CNU	Polygon	3022.2	4682.5	378.5608	158.7638	0.1887	64.6573	18.8685	0.9761	15.9609	6.3914	30	2	31.1826	36.3892	215	0	55.6043	20.3321	123	20	244.8261	27.1207	255	124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5708	4.9015	6.6462
ECM_Exp2_M42_0D_Scene2.tif	320		CNU	Polygon	2360.2	5945.5	381.9408	141.7538	0.2389	58.185	13.7061	0.9835	174.3333	47.6698	255	36	22.0978	8.9452	42	0	41.5778	20.5034	158	16	18.5067	17.2215	126	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5264	6.2948	7.282
ECM_Exp2_M42_0D_Scene2.tif	241		CNU	Polygon	3096.3	4209.6	366.7307	146.2934	0.2153	56.169	18.2506	0.9704	46.0633	15.2144	115	21	24.9321	4.7787	42	12	65.724	21.6621	131	39	117.1493	81.8191	255	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5772	4.3745	6.5548
ECM_Exp2_M42_0D_Scene2.tif	79		CNU	Polygon	3068.3	3523	354.9007	118.0722	0.3199	41.0874	22.0984	0.9156	51.9864	48.1673	216	1	18.9091	8.4395	47	1	38.2864	8.5701	60	13	234.7273	31.0371	255	141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5762	3.6201	6.5688
ECM_Exp2_M42_0D_Scene2.tif	98		CNU	Polygon	3384.8	3560	358.2807	160.5476	0.1747	56.3589	19.0565	0.964	32.4722	22.2468	96	0	9.838	4.9871	29	0	45.6343	17.0231	113	22	101.2361	57.1955	228	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.5984	3.6447	6.2521
