Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M42_0D_Scene1.tif	668		CTX	Polygon	4286.9	2898.6	89.5702	37.2001	0.8134	13.0145	10.0229	0.6644	0.8545	1.8601	8	0	0.2909	1.0831	6	0	40.7636	11.172	66	20	157.9636	60.89	255	40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6911	3.2595	5.7505
ECM_Exp2_M42_0D_Scene1.tif	708		CTX	Polygon	4076.5	4651.2	86.1902	45.3504	0.5266	18.1299	6.3684	0.9548	6.9464	1.9109	12	1	1.6071	2.9337	10	0	49.25	19.28	91	16	198.5357	39.0328	255	120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6739	5.3268	5.9961
ECM_Exp2_M42_0D_Scene1.tif	691		CTX	Polygon	3800.4	3726.8	84.5002	39.6035	0.677	13.3388	10.8321	0.611	89.9231	11.4889	106	60	16.9423	7.2583	35	6	37.1538	13.643	70	19	134.3846	60.1909	249	54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6519	4.2576	6.3108
ECM_Exp2_M42_0D_Scene1.tif	640		CTX	Polygon	3081.4	1762.7	84.5002	40.1143	0.6599	14.8693	9.7579	0.7566	53.0566	24.6424	125	23	6.1321	3.8131	12	0	32.9623	8.6379	54	20	122.6981	59.7039	254	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6021	1.9858	7.023
ECM_Exp2_M42_0D_Scene1.tif	646		CTX	Polygon	3064.3	1895.5	82.8102	41.8746	0.5935	14.6519	9.4749	0.8668	26.283	12.8233	62	4	15.6792	6.6615	35	3	38.2453	14.4274	85	20	167.2075	79.6372	255	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6005	2.137	7.046
ECM_Exp2_M42_0D_Scene1.tif	693		CTX	Polygon	2614.5	3917.4	82.8102	43.1789	0.5582	16.7435	8.52	0.8908	20.2308	6.1505	38	13	11.1923	4.1963	20	0	48.4808	24.5592	107	15	135.3269	71.1711	254	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5604	4.4648	7.6193
ECM_Exp2_M42_0D_Scene1.tif	655		CTX	Polygon	3730.1	2229.9	86.1902	44.9971	0.5349	18.9604	8.0375	0.9336	54.2407	11.3735	68	23	16.9259	7.7796	33	5	47.2407	17.824	101	22	101.2593	47.5356	209	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6468	2.4929	6.3835
ECM_Exp2_M42_0D_Scene1.tif	613		CTX	Polygon	3766.3	1241.2	69.2901	36.9465	0.6379	13.4578	9.1289	0.7185	68.9388	4.2446	75	59	12.5306	3.3361	20	3	32.7347	7.2623	50	21	255	0	255	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.653	1.3932	6.2952
ECM_Exp2_M42_0D_Scene1.tif	675		CTX	Polygon	2925.6	3295.1	72.6701	44.6155	0.4588	19.8193	6.4321	0.957	12.102	3.8635	22	6	10.7551	3.6659	20	1	37.4082	8.1673	52	24	192.8367	58.4217	255	47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5869	3.7688	7.2399
ECM_Exp2_M42_0D_Scene1.tif	633		CTX	Polygon	2799	1575.3	69.2901	38.03	0.602	12.504	8.9263	0.7127	117.1875	8.4819	136	100	15.9375	3.3543	23	9	36.4792	5.8309	50	26	65.7917	52.0875	208	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.584	1.7833	7.2818
ECM_Exp2_M42_0D_Scene1.tif	658		CTX	Polygon	4115.7	2788.4	70.9801	38.8295	0.5916	15.2667	8.8325	0.7562	10.26	4.7372	17	2	1.78	2.2433	9	0	44.06	19.9984	94	16	155	71.1638	255	56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6775	3.1342	5.9453
ECM_Exp2_M42_0D_Scene1.tif	699		CTX	Polygon	4325.1	4030.5	72.6701	33.2376	0.8266	12.7417	7.3553	0.825	60.8913	11.4838	76	35	8.0217	3.9749	12	0	70.3478	27.0713	129	29	241.8696	16.0452	255	185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6937	4.6046	5.7128
ECM_Exp2_M42_0D_Scene1.tif	657		CTX	Polygon	4247.7	2768.3	72.6701	33.9472	0.7924	13.789	7.2921	0.8693	11.7826	5.5454	22	2	4.587	4.5878	12	0	40.8913	15.9516	84	15	189.1304	52.3155	255	85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6877	3.1071	5.7986
ECM_Exp2_M42_0D_Scene1.tif	653		CTX	Polygon	3493.1	2211.7	70.9801	41.8614	0.509	18.597	5.2829	0.9597	7.6042	7.1003	28	0	10	4.6357	22	0	35.3125	13.3116	66	18	59.0208	32.717	171	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6295	2.4828	6.6309
ECM_Exp2_M42_0D_Scene1.tif	685		CTX	Polygon	2308.5	3698	70.9801	36.0131	0.6877	13.7528	8.3808	0.8179	170.7021	29.1793	229	126	23.1064	8.3906	48	12	36.2553	5.6817	48	27	112.4894	69.2594	251	27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5392	4.2103	7.9227
ECM_Exp2_M42_0D_Scene1.tif	645		CTX	Polygon	3090	1883.2	72.6701	44.3687	0.4639	16.0444	9.8691	0.8308	87.9574	30.4316	135	26	13.7872	3.1342	21	6	37.1702	27.8258	132	10	32.8723	25.9654	104	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6023	2.1221	7.0207
ECM_Exp2_M42_0D_Scene1.tif	639		CTX	Polygon	2608.4	1708.7	72.6701	48.3694	0.3903	20.6675	6.0714	0.9786	123.9362	6.1553	139	113	16.4894	4.18	25	12	34.0426	8.2645	52	23	71.1915	58.8172	238	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5707	1.9422	7.4725
ECM_Exp2_M42_0D_Scene1.tif	672		CTX	Polygon	4255	2958.7	65.9101	35.8896	0.643	13.9075	7.9758	0.8821	24.9302	4.9155	37	17	3.3023	3.7578	11	0	47.0465	19.4569	91	17	163.6047	31.8098	243	112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6887	3.3305	5.7853
ECM_Exp2_M42_0D_Scene1.tif	716		CTX	Polygon	2903.9	5482.4	67.6001	35.4201	0.6771	13.6412	7.0631	0.8897	31.4186	7.4745	51	23	8.7209	3.1797	14	1	45.8605	22.5437	105	18	149.1395	58.6806	251	44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5815	6.1242	7.3184
ECM_Exp2_M42_0D_Scene1.tif	669		CTX	Polygon	4110.6	2899.9	64.2201	33.4778	0.7201	13.692	6.3715	0.8855	9.55	2.6404	17	6	8.975	3.2776	12	0	42.625	23.7699	111	17	212.25	67.1545	255	58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6772	3.2655	5.9491
ECM_Exp2_M42_0D_Scene1.tif	598		CTX	Polygon	2293.6	3375.2	62.5301	31.6332	0.7853	12.1452	8.1339	0.7229	255	0	255	255	51	8.9529	77	38	34.175	3.2651	42	28	145.75	48.5623	225	63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5404	3.8504	7.9051
ECM_Exp2_M42_0D_Scene1.tif	666		CTX	Polygon	4271.3	2895.8	67.6001	42.4706	0.471	17.1864	5.7055	0.9605	12.8605	10.373	33	0	5.2558	4.7212	12	0	57.7674	25.1414	136	22	202.7442	74.7479	255	39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6899	3.2565	5.7682
ECM_Exp2_M42_0D_Scene1.tif	648		CTX	Polygon	3412.9	2088.5	64.2201	35.5081	0.6401	15.2037	5.2	0.9407	39.05	10.7821	68	25	13.05	2.7638	22	8	59.1	28.6516	131	25	18.05	20.2116	87	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6239	2.3451	6.7112
ECM_Exp2_M42_0D_Scene1.tif	659		CTX	Polygon	3967.6	2822.5	60.8401	36.0086	0.5896	11.8527	8.992	0.6963	8.15	2.966	16	1	3.625	4.9701	16	0	38.625	20.5085	92	16	54.375	56.702	184	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.666	3.1794	6.1099
ECM_Exp2_M42_0D_Scene1.tif	603		CTX	Polygon	3786.4	1189.4	54.0801	35.0252	0.554	14.4941	5.5383	0.9358	5.4054	2.4995	8	0	0	0	0	0	34.5946	8.3781	55	17	49.5946	31.8813	131	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6549	1.337	6.2687
ECM_Exp2_M42_0D_Scene1.tif	689		CTX	Polygon	4312.9	3538	57.4601	30.4423	0.7792	12.1901	6.2389	0.8525	5.8378	1.9078	8	1	3.9189	5.6636	19	0	39.6216	14.8293	75	17	198.9459	37.8359	255	131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6934	4.0127	5.7175
ECM_Exp2_M42_0D_Scene1.tif	642		CTX	Polygon	3176.3	1828.9	55.7701	35.9904	0.5411	16.6051	5.1748	0.9438	17	7.4274	30	4	10.9189	2.0191	14	4	73.8108	33.1141	163	28	36.5946	6.7678	50	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6083	2.0579	6.9349
ECM_Exp2_M42_0D_Scene1.tif	607		CTX	Polygon	3579.6	1212.2	54.0801	36.2893	0.516	15.0447	5.3614	0.9513	43.25	9.512	60	25	10.5	4.9425	25	4	59.25	15.3853	87	36	243.4444	16.1943	255	201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6397	1.3676	6.4861
ECM_Exp2_M42_0D_Scene1.tif	712		CTX	Polygon	2730	5250.3	55.7701	31.2713	0.7167	12.4813	6.5962	0.8686	20.5833	2.0616	24	17	13.8611	3.5226	24	7	41.7222	12.8455	69	21	67.9722	49.9923	219	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5674	5.8791	7.5192
ECM_Exp2_M42_0D_Scene1.tif	625		CTX	Polygon	3034.3	1495	52.3901	28.6295	0.8032	11.4056	6.8122	0.8286	90.2	9.89	110	74	16.9429	3.6537	24	12	30.8857	2.826	36	26	32.9429	4.9405	46	25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6001	1.6881	7.0517
ECM_Exp2_M42_0D_Scene1.tif	680		CTX	Polygon	2360.3	3526.9	50.7001	30.3379	0.6922	13.2558	5.6696	0.8995	20.8286	8.9689	41	3	15.2571	6.4185	27	5	36.8571	7.1049	52	26	191.1714	44.9009	251	89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5442	4.0205	7.8516
ECM_Exp2_M42_0D_Scene1.tif	631		CTX	Polygon	2863.1	1564.7	47.3201	36.0533	0.4575	15.3508	4.9771	0.9682	110.6176	9.8965	128	93	16.5	6.2341	35	12	33.1471	5.6949	50	24	77.2353	39.9584	152	25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5883	1.7695	7.22
ECM_Exp2_M42_0D_Scene1.tif	706		CTX	Polygon	4226.6	4591.8	50.7001	26.4417	0.9113	10.3453	5.9499	0.8125	113.75	22.5016	141	55	1.3125	3.4119	16	0	33.75	8.0643	55	22	241.3438	26.7565	255	155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6853	5.2704	5.8329
ECM_Exp2_M42_0D_Scene1.tif	678		CTX	Polygon	3917.8	3358.3	54.0801	28.6008	0.8308	12.1086	6.0403	0.8355	50.3939	6.067	64	34	28.2727	15.7644	73	12	31.7273	4.1928	39	23	224.0909	17.5274	254	199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6618	3.8163	6.17
ECM_Exp2_M42_0D_Scene1.tif	601		CTX	Polygon	3714	1179.2	47.3201	33.0002	0.546	14.4178	5.4823	0.9238	81.2727	19.3992	116	43	18.6364	5.9782	26	12	64.1818	20.3768	94	21	254.6667	0.8539	255	252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6496	1.3281	6.3434
ECM_Exp2_M42_0D_Scene1.tif	690		CTX	Polygon	4323.2	3726	43.9401	27.5486	0.7276	10.0062	6.8567	0.7788	19.2069	2.8332	24	12	5.3448	2.8193	9	0	45.0345	21.4667	102	22	171.1379	39.8566	249	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.694	4.2376	5.7091
ECM_Exp2_M42_0D_Scene1.tif	696		CTX	Polygon	3936.4	3952.6	45.6301	29.4059	0.6631	11.4055	6.3395	0.7728	1.6897	2.7138	8	0	8.5862	4.7322	18	0	42.931	18.1992	92	25	148.3448	20.7524	185	117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6625	4.5172	6.1593
ECM_Exp2_M42_0D_Scene1.tif	704		CTX	Polygon	3956.4	4580	43.9401	24.3164	0.9338	8.3301	6.6125	0.4925	8.5172	1.9202	14	6	7.069	3.9545	18	0	47.7241	19.4071	95	23	212.7931	45.7871	255	102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6646	5.2372	6.1289
ECM_Exp2_M42_0D_Scene1.tif	632		CTX	Polygon	2828.8	1567.1	40.5601	22.8578	0.9755	8.1315	6.4239	0.5747	136.4231	3.9615	146	129	23.2308	9.6677	46	12	51.2692	11.5812	76	39	50.3462	37.6212	146	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.586	1.7731	7.2528
ECM_Exp2_M42_0D_Scene1.tif	621		CTX	Polygon	3314.8	1368.6	37.1801	24.7192	0.7646	9.9994	5.5598	0.8726	98.0769	11.73	129	86	23.2692	4.3686	31	12	34.6923	5.034	43	24	121.4615	23.4525	185	78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6199	1.5438	6.7692
ECM_Exp2_M42_0D_Scene1.tif	681		CTX	Polygon	2322.1	3540.9	40.5601	24.3582	0.8591	8.5384	6.013	0.7251	241.2692	10.7835	254	221	31.3462	4.0786	39	25	37.8846	3.713	44	31	138	29.8208	194	96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5413	4.0356	7.8924
ECM_Exp2_M42_0D_Scene1.tif	636		CTX	Polygon	4297.6	1638.3	42.2501	22.4302	1	7.7309	6.713	0.4591	255	0	255	255	36.56	10.1122	55	16	63.56	25.5312	115	30	139.76	19.9985	182	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6908	1.8079	5.7548
ECM_Exp2_M42_0D_Scene1.tif	593		CTX	Polygon	2525.3	1760.7	35.4901	24.4088	0.7486	9.1065	5.1935	0.8742	140.9565	6.1532	150	130	17.6087	4.8593	25	12	32.3913	3.1585	38	25	34.2609	14.8484	72	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5649	2.0059	7.5554
ECM_Exp2_M42_0D_Scene1.tif	596		CTX	Polygon	2309.3	2962.5	35.4901	21.7581	0.9421	7.8165	5.7887	0.6467	72.4583	12.1297	92	52	12.5417	2.2646	20	8	76.25	32.1116	127	32	15.5	6.3177	26	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5443	3.3889	7.8502
ECM_Exp2_M42_0D_Scene1.tif	663		CTX	Polygon	4065.3	2871.8	37.1801	22.7057	0.9063	8.6848	5.5316	0.7428	15	3.1334	21	8	11.4783	2.5382	18	7	36.4783	10.2862	57	21	149.6522	37.9193	226	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6736	3.234	6.0002
ECM_Exp2_M42_0D_Scene1.tif	656		CTX	Polygon	3588.6	2681.4	37.1801	20.1565	1	6.9067	6.0751	0.4191	21.3182	3.315	26	17	2.0909	3.3652	9	0	46	25.5175	105	22	154.7273	37.6869	211	84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6368	3.0258	6.5265
ECM_Exp2_M42_0D_Scene1.tif	754		CNU	Polygon	3220.6	5812.2	327.8607	107.8415	0.3543	32.0458	21.1474	0.782	33.5076	19.836	107	12	20.736	7.5337	44	10	35.934	3.9267	52	22	97.9543	67.8406	255	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6062	6.4925	6.9646
ECM_Exp2_M42_0D_Scene1.tif	724		CNU	Polygon	3387.9	5052.3	278.8506	153.1494	0.1494	45.2341	25.6498	0.8529	41.8107	42.194	217	6	7.7041	6.2179	24	0	38.3136	17.8906	109	13	107.9231	64.491	255	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6205	5.6974	6.7603
ECM_Exp2_M42_0D_Scene1.tif	762		CNU	Polygon	3394.7	5960.3	263.6405	113.6787	0.2564	29.651	20.61	0.6902	91.1006	39.1271	234	48	24.1887	7.5742	56	12	34.5975	3.3811	44	28	221.1698	32.284	255	154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6192	6.669	6.779
