Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M20_30D_Scene4.tif	fiber tracts	Left: fiber tracts	Image	Geometry	6421.8	4698.9	1009	997	0	1399	2737266.1	30462.6
ECM_Exp2_M20_30D_Scene4.tif	fiber tracts	Right: fiber tracts	Image	Geometry	3600.1	4661.9	1009	997	0	790	2702510	30263.2
ECM_Exp2_M20_30D_Scene4.tif	CNU	Left: CNU	Image	Geometry	7532.3	5637.6	623	567	0	5382	5687636.1	15463.4
ECM_Exp2_M20_30D_Scene4.tif	CTX	Left: CTX	Image	Geometry	7933.3	4536.6	688	567	0	5518	11076006.5	23265.5
ECM_Exp2_M20_30D_Scene4.tif	IB	Left: IB	Image	Geometry	5746.4	6095	1129	343	0	1164	4596003.5	12558.3
ECM_Exp2_M20_30D_Scene4.tif	CNU	Right: CNU	Image	Geometry	2459.2	5629.5	623	567	0	1314	5680000.7	15412.7
ECM_Exp2_M20_30D_Scene4.tif	CTX	Right: CTX	Image	Geometry	2141.8	4505.8	688	567	0	864	11264016.3	23479.3
ECM_Exp2_M20_30D_Scene4.tif	IB	Right: IB	Image	Geometry	4176.2	6081.7	1129	343	0	622	4541520	12478.2
