Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M32_30D_Scene2.tif	1	Negative	CNU	Polygon	3887.6	3604.4	177.4504	74.8903	0.3976	26.0915	14.9332	0.7917	27.0926	19.3982	70	0	50.6296	20.4476	110	18	18.5093	4.0175	32	10	63.5	31.7748	196	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2136	3.2268	7.2769
ECM_Exp2_M32_30D_Scene2.tif	2	Negative	CNU	Polygon	3692.8	3606.5	60.8401	42.2741	0.4278	15.0164	7.5715	0.9028	94.925	10.4939	118	75	50.825	18.1502	101	23	7.975	4.4056	15	0	77.6	66.9446	234	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2068	3.2461	7.4706
ECM_Exp2_M32_30D_Scene2.tif	3	Negative	CNU	Polygon	3954.4	3619.6	87.8802	47.4204	0.4911	17.9387	9.0077	0.8705	27.1852	23.1965	110	5	62.1111	20.893	120	34	17.2222	3.4732	28	11	182.7778	53.434	255	52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.216	3.2394	7.2088
ECM_Exp2_M32_30D_Scene2.tif	4	Negative	CNU	Polygon	3840.9	3622.6	70.9801	36.7014	0.6622	14.0063	7.1153	0.8915	54.766	17.3997	96	30	79.7447	29.312	140	34	15.1489	4.2013	24	10	181.234	52.227	255	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.212	3.2529	7.3233
ECM_Exp2_M32_30D_Scene2.tif	5	Negative	CNU	Polygon	4092.5	3625.5	138.5803	77.4359	0.2904	23.1387	17.0217	0.6911	49.0538	42.08	144	4	50.1183	17.3047	99	19	16.914	3.3188	25	10	16.2473	19.2984	114	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2209	3.2348	7.0675
ECM_Exp2_M32_30D_Scene2.tif	6	Negative	CNU	Polygon	4036.8	3631.2	310.9606	74.3039	0.7078	23.7007	20.3562	0.6131	118.9	38.5032	213	32	48.4421	18.8824	121	15	13.7947	5.7409	25	0	95.0526	83.2074	255	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2189	3.2464	7.1243
ECM_Exp2_M32_30D_Scene2.tif	7	Negative	CNU	Polygon	3551.5	3625.7	45.6301	25.3775	0.8904	9.4197	6.3984	0.6737	76.8966	15.776	100	47	86.3793	33.1968	152	37	10.7931	4.0123	21	5	242.0345	14.7394	255	208	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.202	3.28	7.6081
ECM_Exp2_M32_30D_Scene2.tif	8	Negative	CNU	Polygon	4162	3634.5	131.8203	65.5636	0.3854	23.4973	10.9688	0.9135	20.25	14.2137	58	1	75.1705	33.674	152	19	7.2273	4.0986	17	0	116.8295	53.5246	235	46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2234	3.2401	6.9958
ECM_Exp2_M32_30D_Scene2.tif	9	Negative	CNU	Polygon	3786.7	3643.2	148.7203	71.3642	0.367	26.4652	13.837	0.9076	70.0111	26.9604	130	25	55.7	21.3244	111	26	9.6889	5.4394	20	0	101.8556	65.7719	247	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2101	3.2826	7.3769
ECM_Exp2_M32_30D_Scene2.tif	10	Negative	CNU	Polygon	4062.9	3660.5	72.6701	33.8213	0.7983	12.5972	8.387	0.7248	115.6667	13.7087	150	94	62.6875	23.7112	129	30	15.3958	3.2795	23	10	85.1667	60.0813	243	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2199	3.2799	7.0962
