Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M39_0D_Scene5.tif	1	Negative	fiber tracts	Polygon	6431.4	2878.5	113.2302	51.0023	0.547	22.0138	9.4432	0.8985	158.5362	7.3416	177	141	48.2319	20.9952	95	16	8.5217	5.5509	34	1	253.4783	5.6428	255	219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	1.7494	4.5037
ECM_Exp2_M39_0D_Scene5.tif	2	Negative	fiber tracts	Polygon	6559.1	2903.4	145.3403	61.6527	0.4805	25.3683	8.5286	0.9604	114.6067	48.8975	181	35	57.2247	30.0026	127	19	9.191	5.1959	30	1	164.0899	94.3636	255	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	1.7812	4.3692
ECM_Exp2_M39_0D_Scene5.tif	3	Negative	fiber tracts	Polygon	6439.2	2927.6	94.6402	47.4929	0.5273	15.8876	12.4728	0.683	11.3175	4.2153	19	2	49.5079	19.4496	96	19	37.127	33.7039	132	2	92.873	48.2141	199	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	1.8062	4.495
ECM_Exp2_M39_0D_Scene5.tif	4	Negative	fiber tracts	Polygon	6370.1	2926.7	92.9502	38.9189	0.7712	14.7492	9.0223	0.7936	7.1786	9.4717	32	0	50.75	19.4172	89	13	13.9821	6.7244	30	3	78.0179	33.2858	142	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	1.8038	4.5681
ECM_Exp2_M39_0D_Scene5.tif	5	Negative	fiber tracts	Polygon	7062.1	3059.3	81.1202	42.2151	0.572	17.3902	7.9544	0.9288	18.5472	6.9131	33	5	61.1321	22.8793	113	25	11.7736	5.2975	27	3	123.3962	74.1991	251	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	1.9843	3.8478
ECM_Exp2_M39_0D_Scene5.tif	6	Negative	fiber tracts	Polygon	7124.9	3385.5	114.9202	61.5358	0.3814	22.2959	10.1077	0.9446	28.6757	19.2611	88	0	62.6757	24.2081	127	22	17.5541	28.5619	136	0	179.5135	78.8024	255	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	2.3709	3.7803
ECM_Exp2_M39_0D_Scene5.tif	7	Negative	fiber tracts	Polygon	6823	3586.2	69.2901	35.359	0.6964	11.7865	9.1906	0.4746	13.0889	4.4915	24	8	50.5556	17.2186	88	24	27.8889	9.3717	65	14	136	50.8241	227	57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	2.5928	4.0913
ECM_Exp2_M39_0D_Scene5.tif	8	Negative	fiber tracts	Polygon	6728.1	3795.9	133.5103	57.0849	0.5149	20.5565	12.2	0.8963	58.1954	14.5457	82	25	46.3448	19.3029	97	22	66.6092	38.1516	178	22	80	50.5551	168	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	2.8433	4.1924
ECM_Exp2_M39_0D_Scene5.tif	9	Negative	fiber tracts	Polygon	6978.7	3880.1	82.8102	40.1846	0.6444	16.4519	6.4904	0.9334	74.4444	36.5398	156	41	52.8704	25.5158	118	18	17.037	4.4381	28	7	30.963	27.052	140	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	2.9619	3.9308
ECM_Exp2_M39_0D_Scene5.tif	10	Negative	fiber tracts	Polygon	7088.3	3962.6	96.3302	47.0979	0.5457	18.136	9.4151	0.8487	63.6393	11.873	96	49	66.1148	24.5758	116	29	15.082	2.5903	21	10	113.082	34.6642	179	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4413	3.0698	3.8167
