"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M36","Negative","15D","Ipsi",1856,2476.8,133.29
"2","M36","Positive","15D","Ipsi",1804,1800,96.84
"3","M36","Positive","15D","Ipsi",1470,1642.1,351.83
"4","M36","Positive","15D","Ipsi",2036,2461.8,203.87
"5","M36","Positive","15D","Ipsi",1147,1404.2,96.9
"6","M36","Positive","15D","Ipsi",1924,2439.5,124.51
"7","M36","Negative","15D","Ipsi",1756,2471.2,21.95
"8","M36","Positive","15D","Ipsi",1412,1200.4,287.56
"9","M36","Positive","15D","Ipsi",1030,1590.4,44.13
"10","M36","Positive","15D","Ipsi",1407,1455.5,292.94
"11","M36","Positive","15D","Ipsi",1048,1035.8,44.33
"12","M36","Negative","15D","Ipsi",577,297.77,400.02
"13","M36","Positive","15D","Ipsi",2404,1924.9,425.44
"14","M36","Positive","15D","Ipsi",89,515.53,74.62
"15","M36","Positive","15D","Ipsi",1865,1746.5,92
"16","M36","Positive","15D","Ipsi",2044,1885.6,189.02
"17","M36","Positive","15D","Ipsi",248,823.97,182.39
"18","M36","Positive","15D","Ipsi",1520,1291,390.73
"19","M36","Positive","15D","Ipsi",2236,1862.1,306.75
"20","M36","Positive","15D","Ipsi",1459,925.91,345.3
"21","M36","Positive","15D","Ipsi",1234,1132.3,163.85
"22","M36","Positive","15D","Ipsi",1084,1008.9,67.71
"23","M36","Positive","15D","Ipsi",1149,1272.7,107.51
"24","M36","Positive","15D","Ipsi",1157,1651.6,96.09
"25","M36","Positive","15D","Ipsi",197,342.08,147.37
"26","M36","Positive","15D","Ipsi",1036,966.97,31.82
"27","M36","Positive","15D","Ipsi",10,430.38,31.79
"28","M36","Positive","15D","Ipsi",1860,2413.7,81.64
"29","M36","Positive","15D","Ipsi",1297,1040.1,193.82
"30","M36","Positive","15D","Ipsi",2293,1794.2,327.26
"31","M36","Positive","15D","Ipsi",293,524.75,190.66
"32","M36","Positive","15D","Ipsi",2372,1725.4,385.86
"33","M36","Positive","15D","Ipsi",1638,912.88,552.02
"34","M36","Positive","15D","Ipsi",902,296.91,614.91
"35","M36","Positive","15D","Ipsi",982,138.18,655.86
"36","M36","Positive","15D","Ipsi",1901,1842.8,105.15
"37","M36","Negative","15D","Ipsi",694,25.37,462.02
"38","M36","Positive","15D","Ipsi",2562,1987.5,503.59
"39","M36","Positive","15D","Ipsi",2457,2497.7,429.25
"40","M36","Positive","15D","Ipsi",371,102.69,238.19
"41","M36","Negative","15D","Ipsi",2213,2498.6,285.17
"42","M36","Positive","15D","Ipsi",1793,2019.5,34.42
"43","M36","Positive","15D","Ipsi",1366,1450.2,248.11
"44","M36","Negative","15D","Ipsi",2167,2499.9,261.05
"45","M36","Positive","15D","Ipsi",1233,974.98,151.71
"46","M36","Positive","15D","Ipsi",1096,866.32,66.8
"47","M36","Positive","15D","Ipsi",532,141.91,351.25
"48","M36","Positive","15D","Ipsi",968,86.98,653.66
"49","M36","Positive","15D","Ipsi",923,149.49,619.35
"50","M36","Positive","15D","Ipsi",516,34.68,331.87
"51","M36","Positive","15D","Ipsi",468,87.75,297.69
"52","M36","Positive","15D","Ipsi",1389,992.15,272.81
"53","M36","Positive","15D","Ipsi",829,135.93,557.27
"54","M36","Negative","15D","Ipsi",2082,2245.7,209.33
"55","M36","Positive","15D","Ipsi",1409,1156.9,277.17
"56","M36","Positive","15D","Ipsi",1154,1084.3,97.83
"57","M36","Positive","15D","Ipsi",1364,1222.4,264.46
"58","M36","Positive","15D","Ipsi",663,171.36,443.15
"59","M36","Positive","15D","Ipsi",2517,2510.9,475.19
"60","M36","Positive","15D","Ipsi",1373,1256.3,255.25
"61","M36","Positive","15D","Ipsi",1593,1516.7,501.06
"62","M36","Positive","15D","Ipsi",844,69.78,559.98
"63","M36","Positive","15D","Ipsi",1271,1195.2,187.07
"64","M36","Positive","15D","Ipsi",127,96.72,81.43
"65","M36","Positive","15D","Ipsi",1368,1588.4,248.02
"66","M36","Positive","15D","Ipsi",535,83.45,349.85
"67","M36","Positive","15D","Ipsi",2345,2489.5,372.11
"68","M36","Positive","15D","Ipsi",2007,1909.9,156.31
"69","M36","Positive","15D","Ipsi",1498,1068.6,376.95
"70","M36","Positive","15D","Ipsi",102,398.67,75.12
"71","M36","Positive","15D","Ipsi",1484,1489.1,355.94
"72","M36","Positive","15D","Ipsi",1382,1683,252.22
"73","M36","Positive","15D","Ipsi",207,100.45,126.61
"74","M36","Positive","15D","Ipsi",2450,1955.7,423.85
"75","M36","Positive","15D","Ipsi",1946,1762.2,140.69
"76","M36","Positive","15D","Ipsi",24,288.72,15.55
"77","M36","Negative","15D","Ipsi",2575,2117.8,506.69
"78","M36","Positive","15D","Ipsi",658,76.35,429.8
"79","M36","Positive","15D","Ipsi",687,391.88,460.19
"80","M36","Positive","15D","Ipsi",1198,1602.4,126.64
