"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M43","Positive","0D","Ipsi",12339,2955.3,424.69
"2","M43","Positive","0D","Ipsi",9304,1274.2,661.76
"3","M43","Positive","0D","Ipsi",13829,2754.7,661.44
"4","M43","Positive","0D","Ipsi",13821,2856.6,660.61
"5","M43","Positive","0D","Ipsi",4094,58.7,559.97
"6","M43","Positive","0D","Ipsi",10677,2783.7,186.81
"7","M43","Positive","0D","Ipsi",12308,2267.3,417.41
"8","M43","Positive","0D","Ipsi",12948,2409.6,517.91
"9","M43","Positive","0D","Ipsi",13857,2562.2,662.4
"10","M43","Positive","0D","Ipsi",6190,1975.1,198.53
"11","M43","Positive","0D","Ipsi",10375,2909.8,148.03
"12","M43","Positive","0D","Ipsi",13364,2426.3,582.09
"13","M43","Positive","0D","Ipsi",6284,1509.2,210.89
"14","M43","Positive","0D","Ipsi",12452,2288.6,438.86
"15","M43","Positive","0D","Ipsi",4442,672.21,609.86
"16","M43","Positive","0D","Ipsi",10464,2446,159.71
"17","M43","Positive","0D","Ipsi",9765,2273.2,60.17
"18","M43","Positive","0D","Ipsi",9623,2064.7,39.26
"19","M43","Positive","0D","Ipsi",9744,2632.3,56.8
"20","M43","Positive","0D","Ipsi",6061,1380.6,175.01
"21","M43","Positive","0D","Ipsi",9633,2727.4,41.23
"22","M43","Positive","0D","Ipsi",721,909.65,101.38
"23","M43","Positive","0D","Ipsi",13811,2398.4,660.37
"24","M43","Positive","0D","Ipsi",13043,2288.6,532.19
"25","M43","Positive","0D","Ipsi",4830,1013.7,660.93
"26","M43","Positive","0D","Ipsi",4832,443.92,661.5
"27","M43","Positive","0D","Ipsi",11293,2174.1,275.66
"28","M43","Positive","0D","Ipsi",13596,2327.1,619.12
"29","M43","Positive","0D","Ipsi",9587,2964.2,33.75
"30","M43","Positive","0D","Ipsi",10589,2113.7,174.81
"31","M43","Positive","0D","Ipsi",923,758.05,131.16
"32","M43","Positive","0D","Ipsi",11612,3004.6,319.39
"33","M43","Positive","0D","Ipsi",9325,1349.2,662.24
"34","M43","Positive","0D","Ipsi",13852,2490.8,662.39
"35","M43","Positive","0D","Ipsi",4862,794.35,662.32
"36","M43","Positive","0D","Ipsi",4300,207.38,589.08
"37","M43","Positive","0D","Ipsi",10738,2058.6,196.44
"38","M43","Positive","0D","Ipsi",9407,2314.9,11.3
"39","M43","Positive","0D","Ipsi",8220,1939.4,494.06
"40","M43","Positive","0D","Ipsi",4373,64.12,600.88
"41","M43","Positive","0D","Ipsi",13843,2024.3,662.06
"42","M43","Positive","0D","Ipsi",11923,2673.6,365.62
"43","M43","Positive","0D","Ipsi",13782,2424,652.6
"44","M43","Positive","0D","Ipsi",4065,206.1,552.44
"45","M43","Positive","0D","Ipsi",10151,2497.2,115.21
"46","M43","Positive","0D","Ipsi",11637,2505.8,321.88
"47","M43","Positive","0D","Ipsi",11641,2648.7,325.97
"48","M43","Positive","0D","Ipsi",8207,1846.9,491.96
"49","M43","Positive","0D","Ipsi",11503,2493.7,306.68
"50","M43","Positive","0D","Ipsi",4865,859,662.41
"51","M43","Positive","0D","Ipsi",9170,1502.3,640.58
"52","M43","Positive","0D","Ipsi",2244,938.73,311.91
"53","M43","Positive","0D","Ipsi",7553,1085.1,397.4
"54","M43","Positive","0D","Ipsi",13451,2875.6,596.35
"55","M43","Positive","0D","Ipsi",10809,2136.4,205.11
"56","M43","Positive","0D","Ipsi",11692,2474.2,332.44
"57","M43","Positive","0D","Ipsi",11597,2691.7,317.41
"58","M43","Positive","0D","Ipsi",9901,2659.7,78.59
"59","M43","Positive","0D","Ipsi",10666,2261,183.82
"60","M43","Positive","0D","Ipsi",3139,540.48,433.7
"61","M43","Positive","0D","Ipsi",10360,2691.8,144.48
"62","M43","Positive","0D","Ipsi",4987,1747.2,20.94
"63","M43","Positive","0D","Ipsi",12593,2956.6,458.74
"64","M43","Positive","0D","Ipsi",10824,2952.1,205.43
"65","M43","Positive","0D","Ipsi",12991,2872.4,523.16
"66","M43","Positive","0D","Ipsi",12506,2107.2,447.91
"67","M43","Positive","0D","Ipsi",2585,753.45,355.83
"68","M43","Positive","0D","Ipsi",6916,1253.6,303.34
"69","M43","Positive","0D","Ipsi",2327,787.6,321.5
"70","M43","Positive","0D","Ipsi",11221,2018.1,263.07
"71","M43","Positive","0D","Ipsi",3049,951.84,420.91
"72","M43","Positive","0D","Ipsi",7189,1907.3,344.36
"73","M43","Positive","0D","Ipsi",8960,1327.3,607.26
"74","M43","Positive","0D","Ipsi",6905,1869.7,301.81
"75","M43","Positive","0D","Ipsi",12101,2706.6,389.72
"76","M43","Positive","0D","Ipsi",7031,1883.3,321.8
"77","M43","Positive","0D","Ipsi",1823,38.53,255.78
"78","M43","Positive","0D","Ipsi",12489,2993.9,444.58
"79","M43","Positive","0D","Ipsi",4704,450.01,641.85
"80","M43","Positive","0D","Ipsi",13154,2029.2,549.18
"81","M43","Positive","0D","Ipsi",8287,1010.8,504.13
"82","M43","Positive","0D","Ipsi",13359,2747.9,580.54
"83","M43","Positive","0D","Ipsi",13579,2461.2,615.18
"84","M43","Positive","0D","Ipsi",7465,1368.3,384.07
"85","M43","Positive","0D","Ipsi",12411,2074.8,432.31
"86","M43","Positive","0D","Ipsi",13455,2696.5,596.61
"87","M43","Positive","0D","Ipsi",13165,2376,551.63
"88","M43","Positive","0D","Ipsi",11310,2213.6,274.73
"89","M43","Positive","0D","Ipsi",7736,1447.7,422.37
"90","M43","Positive","0D","Ipsi",13719,2257.3,639.4
"91","M43","Positive","0D","Ipsi",13537,2308.5,610.8
"92","M43","Positive","0D","Ipsi",2018,600.87,285.14
"93","M43","Positive","0D","Ipsi",11652,2530.9,324.78
"94","M43","Positive","0D","Ipsi",13500,2183.4,604.54
"95","M43","Positive","0D","Ipsi",8972,1361.9,612.22
"96","M43","Positive","0D","Ipsi",11446,2582,294.13
"97","M43","Positive","0D","Ipsi",7703,1795.1,418.15
