Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M35_30D_Scene1.tif	1	Negative	CTX	Polygon	3201	2359.7	70.9801	39.1291	0.5826	17.0463	6.2454	0.9325	58.8696	6.4104	76	51	65.3261	28.7604	140	25	14.4565	3.686	25	10	103.6739	71.5573	246	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.7701	7.8835
ECM_Exp2_M35_30D_Scene1.tif	2	Negative	CTX	Polygon	3540.7	2420.2	65.9101	39.0064	0.5444	16.0044	7.3402	0.8674	25.766	7.5792	51	17	89.1915	38.5095	166	25	11.8085	4.4752	30	5	161.766	67.5719	255	48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.8183	7.5075
ECM_Exp2_M35_30D_Scene1.tif	3	Negative	CTX	Polygon	3320.1	2472.4	47.3201	27.1585	0.8062	10.0009	6.3845	0.6637	5.9394	5.6344	17	0	80.7273	35.0948	166	38	11.3636	6.0302	25	0	150.1212	77.9117	255	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.8965	7.7584
ECM_Exp2_M35_30D_Scene1.tif	4	Negative	CTX	Polygon	3509.6	2476.3	99.7102	44.1047	0.6441	18.4349	9.8835	0.759	18.6364	8.6853	42	8	54.1818	17.7451	102	25	7.5	3.1925	15	0	202.6061	59.9784	255	67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.8873	7.5459
ECM_Exp2_M35_30D_Scene1.tif	5	Negative	CTX	Polygon	3590.5	2515.7	98.0202	54.7492	0.4109	24.6565	6.5716	0.9726	16.4444	5.1674	25	0	51.5714	23.203	102	12	11.5873	5.4496	30	5	82.9206	84.4579	255	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.9292	7.4577
ECM_Exp2_M35_30D_Scene1.tif	6	Negative	CTX	Polygon	3347	2530.1	76.0502	36.7448	0.7078	14.8601	7.0077	0.8903	49.08	27.8149	102	8	60.86	32.1438	179	25	9.4	3.5914	20	5	129.66	68.5064	255	57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.9637	7.7323
ECM_Exp2_M35_30D_Scene1.tif	7	Negative	CTX	Polygon	3450.9	2546.2	74.3601	35.2355	0.7526	11.8295	9.1592	0.5824	41.54	29.4931	119	8	53.42	19.0103	89	25	6	3.0305	10	0	226.4	57.7588	255	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	1.975	7.6168
ECM_Exp2_M35_30D_Scene1.tif	8	Negative	CTX	Polygon	3040.7	2595.4	76.0502	36.1885	0.7297	14.5063	7.7303	0.8626	46.7347	21.9163	93	17	54.0816	16.0622	102	25	11.4286	3.2275	20	5	118.6939	68.5517	255	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	2.0676	8.0746
ECM_Exp2_M35_30D_Scene1.tif	9	Negative	CTX	Polygon	3289	2682.5	106.4702	54.2666	0.4543	20.3899	12.081	0.8876	12.8235	6.9903	25	0	48.3971	18.1948	89	12	10.9559	5.747	30	5	163.9412	69.6128	255	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	2.1517	7.8079
ECM_Exp2_M35_30D_Scene1.tif	10	Negative	CTX	Polygon	3409.9	2695.6	108.1602	48.8205	0.5703	15.961	12.5102	0.6594	52.2985	14.9636	85	25	50.0597	23.8517	115	25	12.5373	3.1829	20	5	42.5075	38.5201	153	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4262	2.157	7.6734
